transaction_id,user_id,transaction_time,amount,payment_method,currency,item_id,item_name,item_type
24,11464,2024-08-13 07:47:37,58.27,微信支付,CNY,1775,礼物,直播
25,11702,2024-10-26 23:06:52,729.73,Apple Pay,CNY,9112,游戏点券,游戏
26,10764,2025-01-26 15:40:40,6546.4,银行卡,CNY,7220,食品,电商
27,11156,2024-09-02 06:48:55,8435.02,云闪付,USD,4010,弹幕特效,直播
28,10852,2025-04-01 02:01:12,1764.63,支付宝,CNY,6773,年度会员,会员
29,12396,2025-04-16 06:02:28,503.19,微信支付,CNY,4234,超级会员,会员
30,12894,2024-09-06 06:51:15,2723.16,微信支付,CNY,9820,弹幕特效,直播
31,12005,2023-06-21 08:41:42,2108.86,微信支付,CNY,5617,日用品,电商
32,11593,2025-03-21 15:10:06,424.37,微信支付,USD,8548,装备,游戏
33,12041,2025-01-30 01:18:28,7165.81,微信支付,CNY,8006,化妆品,电商
34,11911,2025-02-22 19:19:37,1096.58,支付宝,CNY,5998,座驾,直播
35,10064,2024-12-17 21:14:04,633.21,云闪付,CNY,2935,弹幕特效,直播
36,11312,2024-10-26 22:32:06,29584.37,支付宝,USD,5489,贵族身份,直播
37,11005,2024-10-16 18:59:56,3057.86,微信支付,CNY,6554,主播贡献,直播
38,12879,2024-07-19 20:59:33,682.96,云闪付,CNY,1593,游戏点券,游戏
39,12118,2024-04-01 19:06:15,2265.97,Apple Pay,CNY,5506,弹幕特效,直播
40,11861,2025-04-20 15:43:11,443.87,微信支付,HKD,8186,装备,游戏
41,10690,2025-04-06 16:51:52,398.97,微信支付,CNY,4269,角色,游戏
42,12309,2024-12-02 11:01:03,49.68,云闪付,CNY,9155,季度会员,会员
43,12893,2025-04-03 23:56:12,1279.08,云闪付,CNY,6495,年度会员,会员
44,12749,2024-12-17 16:36:57,40404.02,支付宝,USD,5670,日用品,电商
45,11568,2025-04-06 21:24:49,669.27,银行卡,CNY,1229,特权卡,游戏
46,11742,2023-10-26 17:22:13,441.38,银行卡,CNY,4149,数码产品,电商
47,11979,2024-03-20 18:45:19,31588.92,微信支付,USD,4960,日用品,电商
48,12044,2024-12-02 17:30:10,1538.46,Apple Pay,CNY,4761,季度会员,会员
49,12135,2025-02-08 00:42:42,3257.67,支付宝,CNY,9547,礼物,直播
50,10936,2025-04-07 21:53:02,1769.01,微信支付,CNY,1216,月度会员,会员
51,11554,2024-05-17 13:08:28,3839.84,微信支付,CNY,4950,座驾,直播
52,12430,2024-03-06 14:52:19,13855.32,微信支付,USD,3034,VIP会员,会员
53,11542,2025-02-06 02:46:13,2406.34,Apple Pay,CNY,3988,弹幕特效,直播
54,12920,2025-04-10 17:10:03,3577.64,云闪付,CNY,2248,日用品,电商
55,12748,2025-04-07 18:20:45,7606.14,银行卡,CNY,1623,数码产品,电商
56,10606,2025-02-06 08:17:03,507.42,支付宝,CNY,2526,游戏点券,游戏
57,11054,2024-01-30 10:10:01,431.22,银行卡,CNY,9795,化妆品,电商
58,10713,2024-09-02 19:05:36,326.88,银行卡,USD,1949,角色,游戏
59,10393,2025-01-17 09:16:53,1719.35,支付宝,CNY,8658,年度会员,会员
60,12738,2024-08-12 23:22:02,816.43,云闪付,CNY,2610,特权卡,游戏
61,11746,2025-03-25 03:26:43,4764.82,微信支付,CNY,9631,服装,电商
62,10954,2024-12-12 14:27:56,133.51,Apple Pay,CNY,6406,超级会员,会员
63,12439,2024-03-04 07:22:20,95.32,支付宝,CNY,2418,特权卡,游戏
64,11006,2024-09-08 07:43:53,462.8,微信支付,CNY,1555,月度会员,会员
65,11578,2024-03-11 14:11:12,328.97,微信支付,CNY,1240,超级会员,会员
66,11474,2024-05-25 07:09:43,849.7,云闪付,CNY,3170,主播贡献,直播
67,11291,2025-04-21 01:47:02,3759.05,银行卡,CNY,8983,日用品,电商
68,11019,2024-11-04 05:27:12,476.67,微信支付,CNY,6149,特权卡,游戏
69,10297,2023-10-19 22:00:36,632.64,Apple Pay,CNY,7430,主播贡献,直播
70,12259,2025-04-07 11:54:05,25415.21,银行卡,USD,8267,弹幕特效,直播
71,12816,2024-03-14 13:13:55,439.64,云闪付,CNY,8469,月度会员,会员
72,12975,2024-06-07 13:27:40,676.72,支付宝,HKD,2854,特权卡,游戏
73,11204,2024-05-14 07:34:57,646.78,微信支付,CNY,3395,角色,游戏
74,10657,2025-01-26 07:23:17,2217.93,银行卡,CNY,2158,贵族身份,直播
75,10748,2025-04-06 03:22:08,92.32,微信支付,CNY,3531,装备,游戏
76,10969,2024-09-16 17:09:43,2521.17,支付宝,CNY,2858,主播贡献,直播
77,10309,2024-08-28 12:46:17,4735.14,微信支付,CNY,9587,弹幕特效,直播
78,12781,2024-10-25 19:26:45,927.49,支付宝,CNY,3530,特权卡,游戏
79,12501,2024-09-20 10:46:12,1665.57,云闪付,CNY,5799,季度会员,会员
80,10830,2025-01-08 06:14:23,936.69,Apple Pay,CNY,7886,月度会员,会员
81,10527,2025-03-23 08:05:56,9386.55,云闪付,CNY,6718,食品,电商
82,12353,2024-11-15 09:10:52,4966.98,银行卡,CNY,5240,食品,电商
83,12858,2023-11-24 08:58:22,11157.55,银行卡,USD,3527,季度会员,会员
84,12894,2024-08-08 12:19:20,3162.26,支付宝,CNY,8483,服装,电商
85,11899,2025-04-11 07:17:47,4301.15,银行卡,CNY,1431,弹幕特效,直播
86,11191,2025-03-24 10:29:43,9061.15,Apple Pay,CNY,1137,数码产品,电商
87,10487,2023-07-21 05:19:39,1905.7,Apple Pay,CNY,5134,超级会员,会员
88,10012,2025-03-29 23:29:43,3675.08,Apple Pay,CNY,6754,主播贡献,直播
89,12090,2024-12-31 22:21:58,18244.51,Apple Pay,USD,7321,礼物,直播
90,12489,2025-01-31 05:57:30,160.35,微信支付,CNY,7235,超级会员,会员
91,10550,2024-08-13 19:52:53,66814.63,云闪付,USD,7553,食品,电商
92,10083,2025-01-16 16:23:28,45.81,Apple Pay,CNY,6962,特权卡,游戏
93,12658,2024-10-19 16:23:51,8874.67,支付宝,CNY,6685,化妆品,电商
94,10649,2025-04-17 09:59:34,4060.58,微信支付,CNY,3097,贵族身份,直播
95,10001,2024-11-11 11:10:31,4529.16,云闪付,CNY,8760,座驾,直播
96,10680,2025-04-02 11:31:04,21621.74,微信支付,USD,3736,贵族身份,直播
97,10099,2024-06-14 05:22:11,1904.45,云闪付,CNY,1173,月度会员,会员
98,12836,2024-03-25 15:47:08,1107.85,银行卡,CNY,9731,年度会员,会员
99,12883,2024-11-22 02:44:30,448.68,银行卡,CNY,9226,装备,游戏
100,12000,2024-12-28 22:51:36,912.48,微信支付,CNY,1778,VIP会员,会员
101,11430,2024-05-18 03:01:32,2295.0,银行卡,CNY,5554,弹幕特效,直播
102,10367,2024-07-13 21:32:34,3973.06,云闪付,CNY,9223,主播贡献,直播
103,10108,2024-04-03 14:04:16,4530.08,支付宝,HKD,9934,弹幕特效,直播
104,12537,2025-04-12 06:48:40,808.97,支付宝,HKD,7433,年度会员,会员
105,12022,2024-03-22 15:41:22,3265.45,支付宝,CNY,4070,主播贡献,直播
106,11739,2024-11-07 13:43:37,1969.06,银行卡,CNY,7643,贵族身份,直播
107,11630,2024-02-29 02:08:31,1175.95,云闪付,CNY,6360,年度会员,会员
108,10605,2024-08-12 04:11:25,423.4,银行卡,CNY,7115,游戏点券,游戏
109,10740,2024-05-17 23:26:54,5894.38,银行卡,CNY,1024,日用品,电商
110,10696,2024-08-30 22:03:47,1814.64,微信支付,CNY,6661,礼物,直播
111,10866,2025-04-02 14:39:58,69327.29,云闪付,USD,2468,食品,电商
112,11114,2024-12-15 01:00:13,1941.4,微信支付,CNY,5770,季度会员,会员
113,12282,2025-02-02 08:12:04,3106.94,Apple Pay,CNY,4935,座驾,直播
114,12058,2025-04-19 21:32:20,9832.5,Apple Pay,CNY,2249,化妆品,电商
115,10640,2025-02-01 15:47:44,339.32,云闪付,CNY,7492,角色,游戏
116,12317,2025-04-15 22:53:44,4959.31,微信支付,CNY,9487,座驾,直播
117,11554,2025-01-29 03:32:38,1846.65,Apple Pay,CNY,5504,超级会员,会员
118,11100,2025-03-30 06:11:33,859.23,支付宝,CNY,1817,主播贡献,直播
119,11818,2025-04-01 23:14:16,323.04,云闪付,HKD,6178,超级会员,会员
120,10133,2025-03-22 19:17:22,1067.28,银行卡,CNY,8312,年度会员,会员
121,11705,2024-01-21 03:44:17,238.54,微信支付,CNY,8927,季度会员,会员
122,12348,2024-12-10 01:06:36,3655.81,支付宝,CNY,3080,化妆品,电商
123,12730,2024-12-11 09:20:04,542.13,银行卡,CNY,7916,弹幕特效,直播
124,10829,2024-12-23 12:54:38,118.6,支付宝,CNY,7957,角色,游戏
125,10458,2025-04-22 09:34:27,975.99,支付宝,CNY,7465,贵族身份,直播
126,11250,2024-08-22 20:07:28,339.8,Apple Pay,CNY,4915,装备,游戏
127,12250,2025-04-03 09:21:51,4835.36,云闪付,CNY,3842,数码产品,电商
128,10892,2025-02-25 06:27:04,6835.51,支付宝,CNY,7632,食品,电商
129,11935,2024-04-21 10:05:48,1789.9,支付宝,CNY,1385,礼物,直播
130,10360,2024-10-10 23:17:49,5708.27,微信支付,CNY,6304,食品,电商
131,12996,2024-11-25 15:16:59,1148.37,银行卡,HKD,4493,季度会员,会员
132,10990,2024-09-26 12:24:44,896.55,微信支付,CNY,6791,年度会员,会员
133,11404,2024-07-05 23:51:50,1797.76,支付宝,CNY,3532,化妆品,电商
134,12986,2025-01-10 16:27:54,3564.0,银行卡,USD,9607,装备,游戏
135,10708,2024-11-28 08:38:01,101.91,云闪付,CNY,8501,游戏点券,游戏
136,11110,2025-04-21 03:35:18,2218.82,云闪付,CNY,8913,贵族身份,直播
137,12233,2024-08-30 14:02:18,584.17,支付宝,CNY,2321,角色,游戏
138,12138,2024-06-06 02:01:34,4922.06,Apple Pay,USD,7173,游戏点券,游戏
139,10108,2024-07-17 23:55:11,6360.22,云闪付,CNY,3754,服装,电商
140,12679,2024-03-29 12:59:13,4232.6,银行卡,CNY,2148,服装,电商
141,10440,2025-03-22 09:38:25,9692.93,云闪付,USD,2426,季度会员,会员
142,11397,2024-08-01 11:16:31,994.52,微信支付,CNY,1957,特权卡,游戏
143,10423,2023-09-29 19:13:55,1089.85,云闪付,CNY,7259,年度会员,会员
144,11360,2024-11-20 23:27:49,6522.58,银行卡,CNY,4744,化妆品,电商
145,12645,2024-12-07 20:50:00,3520.83,微信支付,CNY,2136,食品,电商
146,11222,2024-07-04 21:41:36,2119.82,支付宝,USD,5673,皮肤,游戏
147,11014,2024-10-28 04:31:09,1524.78,云闪付,CNY,2120,季度会员,会员
148,12928,2025-03-31 05:06:26,3802.46,云闪付,CNY,1314,贵族身份,直播
149,12226,2025-03-24 12:34:43,535.84,云闪付,CNY,7285,游戏点券,游戏
150,11704,2024-04-18 21:04:59,2181.72,银行卡,CNY,1519,礼物,直播
151,10931,2025-03-01 20:38:22,766.95,Apple Pay,CNY,6223,游戏点券,游戏
152,12863,2025-04-13 14:48:10,7767.11,银行卡,CNY,4465,化妆品,电商
153,12651,2024-11-07 20:23:08,569.6,Apple Pay,CNY,9174,特权卡,游戏
154,10587,2025-03-02 03:15:38,607.23,微信支付,CNY,4520,装备,游戏
155,11818,2025-03-01 20:39:42,309.1,微信支付,CNY,4193,角色,游戏
156,12599,2024-12-31 15:24:50,89.34,微信支付,CNY,6448,特权卡,游戏
157,12651,2025-02-08 21:21:04,1734.18,微信支付,CNY,3203,季度会员,会员
158,10248,2024-08-13 16:55:48,5488.27,银行卡,CNY,5201,化妆品,电商
159,10384,2025-04-05 02:38:48,808.55,微信支付,CNY,8139,月度会员,会员
160,10277,2024-07-29 16:52:18,789.45,微信支付,CNY,5613,超级会员,会员
161,12111,2025-04-19 14:51:04,1882.61,微信支付,CNY,6459,礼物,直播
162,10224,2024-09-30 18:55:40,254.51,云闪付,CNY,2333,化妆品,电商
163,12454,2025-02-23 02:57:04,9659.58,银行卡,CNY,3571,数码产品,电商
164,10530,2025-01-09 10:58:58,928.09,云闪付,CNY,8591,特权卡,游戏
165,12662,2024-10-05 09:58:28,4280.69,云闪付,CNY,1934,礼物,直播
166,11231,2024-11-24 16:07:46,3109.0,支付宝,CNY,3888,服装,电商
167,11563,2023-09-28 03:06:14,7455.31,Apple Pay,CNY,8308,服装,电商
168,11253,2025-01-15 21:37:31,4227.35,微信支付,CNY,2702,弹幕特效,直播
169,10075,2024-07-06 18:34:31,634.18,银行卡,CNY,9567,季度会员,会员
170,10050,2024-11-05 05:09:39,588.57,Apple Pay,CNY,1654,游戏点券,游戏
171,11869,2025-02-13 18:53:12,5279.62,银行卡,CNY,6185,化妆品,电商
172,11289,2025-01-27 11:00:45,2654.97,云闪付,CNY,3460,弹幕特效,直播
173,11949,2025-02-10 00:03:01,1782.84,支付宝,CNY,4364,超级会员,会员
174,11781,2024-08-10 02:19:16,4226.65,银行卡,CNY,6394,化妆品,电商
175,12065,2025-02-05 11:01:42,4352.11,支付宝,CNY,8347,主播贡献,直播
176,12640,2025-01-16 04:37:47,3020.04,支付宝,USD,5687,超级会员,会员
177,10238,2024-07-21 13:16:38,1207.82,银行卡,CNY,3128,服装,电商
178,12041,2025-04-12 14:14:15,1596.36,微信支付,CNY,7385,季度会员,会员
179,12701,2024-10-10 06:40:59,8238.75,微信支付,CNY,5939,日用品,电商
180,12218,2025-03-04 19:31:15,1895.08,云闪付,CNY,9893,VIP会员,会员
181,10325,2024-07-06 16:48:55,4451.33,Apple Pay,USD,2313,皮肤,游戏
182,10091,2025-01-19 18:08:58,1814.72,微信支付,HKD,2107,季度会员,会员
183,11011,2025-03-30 10:03:15,7911.0,支付宝,USD,9340,超级会员,会员
184,11850,2023-10-01 12:05:59,1458.29,Apple Pay,CNY,8520,月度会员,会员
185,12459,2023-12-12 23:08:59,756.12,银行卡,CNY,2076,皮肤,游戏
186,10053,2025-01-14 15:30:16,538.08,Apple Pay,CNY,6266,特权卡,游戏
187,11717,2024-09-17 16:11:05,2096.57,Apple Pay,CNY,9381,主播贡献,直播
188,12757,2024-07-11 13:56:23,4308.59,云闪付,CNY,8811,贵族身份,直播
189,10299,2024-11-05 15:31:06,1569.8,云闪付,CNY,2458,月度会员,会员
190,12159,2025-03-07 14:40:39,18484.7,支付宝,USD,4560,礼物,直播
191,11416,2025-04-06 16:41:07,341.84,银行卡,CNY,1778,主播贡献,直播
192,10087,2025-01-31 17:23:58,344.31,微信支付,CNY,9941,装备,游戏
193,10678,2025-04-11 17:52:47,9219.73,支付宝,CNY,4362,食品,电商
194,12577,2025-03-02 20:50:52,414.45,云闪付,CNY,2987,礼物,直播
195,10757,2024-06-01 11:09:39,2752.99,支付宝,USD,6938,主播贡献,直播
196,11627,2024-11-21 00:38:34,808.92,Apple Pay,CNY,5234,年度会员,会员
197,12467,2023-12-22 11:03:14,485.3,支付宝,CNY,1732,季度会员,会员
198,10363,2025-04-09 04:55:10,1299.58,银行卡,CNY,8716,日用品,电商
199,12637,2025-04-17 18:42:09,6214.61,支付宝,USD,6338,VIP会员,会员
200,11728,2025-01-31 15:49:39,322.84,云闪付,CNY,8016,主播贡献,直播
201,11005,2024-12-27 16:37:41,2259.68,云闪付,CNY,4445,食品,电商
202,12424,2025-02-11 21:57:35,34229.95,Apple Pay,USD,9399,弹幕特效,直播
203,11288,2025-04-19 12:21:09,4915.18,微信支付,CNY,5647,日用品,电商
204,10409,2024-09-17 05:55:27,7906.27,Apple Pay,CNY,1099,化妆品,电商
205,10051,2024-02-01 13:01:42,665.43,银行卡,CNY,3021,礼物,直播
206,10378,2025-03-15 23:07:01,783.51,微信支付,CNY,3702,年度会员,会员
207,12120,2024-04-30 17:38:14,535.14,支付宝,CNY,8110,超级会员,会员
208,11988,2024-12-22 18:35:49,9118.28,微信支付,CNY,7119,日用品,电商
209,12280,2024-02-26 11:50:02,5958.29,云闪付,USD,5890,主播贡献,直播
210,12601,2024-12-25 20:32:16,890.92,Apple Pay,CNY,4009,角色,游戏
211,12961,2024-08-15 06:58:55,61.22,银行卡,CNY,6452,季度会员,会员
212,10841,2023-11-08 18:22:38,45946.87,微信支付,USD,3556,食品,电商
213,11142,2024-09-13 22:03:44,449.29,Apple Pay,CNY,3729,游戏点券,游戏
214,12778,2023-06-24 08:59:58,994.71,Apple Pay,CNY,3157,主播贡献,直播
215,12343,2024-07-02 03:46:31,489.52,支付宝,CNY,1020,月度会员,会员
216,10375,2025-04-02 20:47:45,9434.42,银行卡,CNY,3571,服装,电商
217,11662,2024-03-03 03:18:41,967.57,云闪付,CNY,3135,超级会员,会员
218,11440,2024-09-13 15:03:31,2425.62,支付宝,CNY,4221,弹幕特效,直播
219,10219,2024-09-02 17:06:24,2401.15,Apple Pay,CNY,6278,礼物,直播
220,10862,2024-10-31 07:40:21,1058.33,云闪付,CNY,5399,月度会员,会员
221,12673,2023-12-19 19:30:39,3136.05,银行卡,CNY,6192,日用品,电商
222,11784,2025-03-08 05:45:09,641.92,微信支付,CNY,5244,角色,游戏
223,11565,2025-04-08 04:37:43,1646.59,云闪付,CNY,9122,座驾,直播
224,11358,2024-07-22 04:05:37,1764.25,支付宝,CNY,9502,季度会员,会员
225,12750,2024-01-02 21:21:08,447.32,银行卡,CNY,9931,食品,电商
226,12944,2025-03-04 23:22:39,336.74,Apple Pay,CNY,6771,皮肤,游戏
227,11306,2024-06-06 12:15:49,234.62,微信支付,CNY,2877,贵族身份,直播
228,10359,2023-06-12 03:04:16,1550.91,微信支付,HKD,6765,超级会员,会员
229,12727,2024-10-29 00:29:12,369.42,支付宝,CNY,5939,特权卡,游戏
230,11420,2024-07-09 18:22:02,882.0,微信支付,CNY,5529,游戏点券,游戏
231,10382,2024-08-26 01:16:54,855.08,Apple Pay,CNY,8280,超级会员,会员
232,11447,2024-12-29 07:52:50,7929.59,银行卡,CNY,5832,日用品,电商
233,10225,2024-11-07 08:09:36,619.08,支付宝,CNY,2849,特权卡,游戏
234,12212,2024-08-08 23:10:12,554.52,云闪付,CNY,1928,游戏点券,游戏
235,12345,2024-12-26 15:14:04,555.32,Apple Pay,CNY,2967,季度会员,会员
236,11813,2023-09-26 10:41:55,2213.2,银行卡,CNY,8331,化妆品,电商
237,12634,2024-10-09 08:23:23,24247.87,银行卡,USD,5709,主播贡献,直播
238,12187,2024-11-23 08:10:44,626.99,Apple Pay,CNY,2387,角色,游戏
239,12616,2024-11-25 22:23:00,1167.56,微信支付,CNY,7277,礼物,直播
240,12941,2024-09-20 04:22:40,304.54,支付宝,CNY,1329,超级会员,会员
241,10872,2024-06-07 19:51:07,676.49,银行卡,CNY,8933,数码产品,电商
242,12736,2023-11-22 20:15:37,7578.76,银行卡,HKD,7010,食品,电商
243,12398,2023-09-22 15:42:47,7831.22,微信支付,CNY,9026,日用品,电商
244,12461,2025-03-26 13:45:09,5858.89,支付宝,CNY,2196,化妆品,电商
245,12423,2025-03-23 12:01:10,2842.25,银行卡,CNY,6293,数码产品,电商
246,12162,2024-12-08 18:02:07,1355.87,微信支付,CNY,3198,季度会员,会员
247,10013,2025-04-05 14:33:32,82.01,Apple Pay,CNY,2955,主播贡献,直播
248,11878,2024-07-13 01:44:30,4175.17,支付宝,CNY,8989,主播贡献,直播
249,12310,2024-11-23 16:14:10,984.62,Apple Pay,CNY,3541,角色,游戏
250,10006,2024-06-30 05:53:03,66905.57,Apple Pay,USD,2999,化妆品,电商
251,11949,2025-04-07 19:45:14,566.85,Apple Pay,CNY,1746,特权卡,游戏
252,11916,2025-01-27 13:39:22,4994.22,云闪付,CNY,2190,主播贡献,直播
253,10850,2024-05-01 13:34:46,1243.54,云闪付,CNY,2725,月度会员,会员
254,12308,2025-04-09 17:11:14,3010.44,Apple Pay,CNY,9221,礼物,直播
255,11416,2025-04-18 06:48:26,7629.58,银行卡,CNY,9831,食品,电商
256,11543,2025-04-22 00:01:48,1341.38,银行卡,CNY,5750,服装,电商
257,11057,2025-02-01 05:11:54,2754.65,支付宝,CNY,6432,食品,电商
258,10332,2023-11-29 19:36:43,4359.03,微信支付,CNY,1253,礼物,直播
259,10753,2024-12-30 23:27:42,238.57,微信支付,CNY,4659,装备,游戏
260,10940,2025-01-28 09:34:50,510.08,微信支付,HKD,5748,化妆品,电商
261,11474,2024-09-15 19:40:24,315.99,支付宝,CNY,8347,VIP会员,会员
262,12444,2024-12-05 12:54:22,6880.25,云闪付,USD,4039,超级会员,会员
263,11733,2024-06-03 06:16:14,31307.69,微信支付,USD,1357,贵族身份,直播
264,11588,2024-10-07 06:21:46,473.51,微信支付,CNY,1166,季度会员,会员
265,12582,2024-12-06 00:53:29,9731.86,云闪付,CNY,5962,数码产品,电商
266,11364,2024-07-10 10:20:21,534.74,支付宝,CNY,1547,角色,游戏
267,12474,2024-09-10 12:49:56,3417.48,银行卡,USD,6487,月度会员,会员
268,12905,2024-08-11 08:08:44,1622.16,Apple Pay,CNY,9911,超级会员,会员
269,10523,2024-12-20 09:37:08,3874.62,云闪付,CNY,3754,座驾,直播
270,11198,2023-08-17 00:33:00,1487.3,银行卡,CNY,5910,VIP会员,会员
271,12869,2024-08-11 05:06:50,1329.47,银行卡,CNY,1336,礼物,直播
272,10991,2024-10-16 22:00:33,19.5,云闪付,CNY,6923,特权卡,游戏
273,12088,2025-04-21 15:16:27,4705.74,银行卡,CNY,3386,主播贡献,直播
274,10407,2025-03-16 12:12:14,16238.52,Apple Pay,USD,6750,座驾,直播
275,12752,2025-04-18 19:18:55,3551.44,银行卡,CNY,2184,礼物,直播
276,10622,2024-12-05 19:38:49,11596.82,云闪付,USD,6351,季度会员,会员
277,11423,2024-05-02 14:11:09,152.37,微信支付,CNY,9628,季度会员,会员
278,12976,2024-09-25 12:05:00,13279.32,微信支付,USD,9238,超级会员,会员
279,12674,2025-03-15 08:32:28,464.37,支付宝,CNY,7065,特权卡,游戏
280,11576,2024-12-16 02:43:06,489.96,Apple Pay,CNY,4215,游戏点券,游戏
281,10491,2023-10-02 02:52:06,7365.02,银行卡,CNY,1596,日用品,电商
282,10129,2024-07-10 05:36:36,821.51,云闪付,CNY,4605,特权卡,游戏
283,10233,2024-05-16 09:59:55,9198.47,Apple Pay,CNY,6993,服装,电商
284,12548,2024-09-24 02:06:25,1259.72,支付宝,CNY,4437,超级会员,会员
285,11250,2025-03-24 16:44:02,4599.29,支付宝,USD,8614,皮肤,游戏
286,10285,2024-03-23 01:18:48,1171.88,支付宝,CNY,2331,年度会员,会员
287,10572,2023-09-08 23:50:20,920.46,支付宝,CNY,4175,皮肤,游戏
288,10254,2024-12-17 03:41:28,4839.29,Apple Pay,CNY,2901,贵族身份,直播
289,12382,2024-02-13 18:16:40,1181.78,微信支付,CNY,2045,月度会员,会员
290,12633,2024-12-06 19:56:23,4141.76,微信支付,CNY,5466,贵族身份,直播
291,10406,2025-03-26 09:20:04,574.75,云闪付,CNY,1138,主播贡献,直播
292,11502,2025-02-04 09:00:07,63.1,云闪付,CNY,3913,VIP会员,会员
293,10515,2024-12-25 02:02:41,2411.64,微信支付,CNY,1503,礼物,直播
294,11892,2023-12-05 06:35:42,1632.44,银行卡,CNY,5325,超级会员,会员
295,10033,2025-03-21 17:39:01,996.91,云闪付,CNY,1135,年度会员,会员
296,10626,2024-07-03 01:23:30,3224.09,Apple Pay,HKD,1870,弹幕特效,直播
297,10413,2025-01-30 02:27:35,3568.62,微信支付,CNY,2008,服装,电商
298,10281,2025-03-02 03:28:39,1742.97,微信支付,CNY,4736,VIP会员,会员
299,10914,2024-06-11 12:01:22,1473.96,Apple Pay,CNY,5226,超级会员,会员
300,10021,2024-10-31 14:37:35,3038.54,云闪付,USD,6126,特权卡,游戏
301,10646,2025-04-14 16:54:28,1167.69,支付宝,CNY,6678,化妆品,电商
302,10413,2024-11-16 15:40:50,977.5,银行卡,CNY,8377,装备,游戏
303,10817,2024-05-18 15:28:04,1099.06,支付宝,CNY,2040,VIP会员,会员
304,12698,2024-11-30 22:48:47,565.79,支付宝,CNY,1287,年度会员,会员
305,10639,2025-04-03 10:12:18,1633.46,支付宝,CNY,9851,超级会员,会员
306,10991,2025-01-23 09:14:26,1081.09,云闪付,CNY,7855,季度会员,会员
307,11472,2024-07-20 04:47:04,9444.92,支付宝,CNY,2130,数码产品,电商
308,11319,2025-03-24 20:29:16,6807.0,微信支付,CNY,5791,数码产品,电商
309,11280,2025-03-27 09:10:25,5982.98,银行卡,USD,1842,皮肤,游戏
310,10331,2025-01-30 22:46:51,488.22,Apple Pay,CNY,5458,角色,游戏
311,11612,2023-11-15 21:40:58,3886.5,云闪付,CNY,1453,弹幕特效,直播
312,12652,2024-05-30 12:12:55,120.65,Apple Pay,CNY,2126,装备,游戏
313,12732,2025-03-06 15:57:42,2642.1,微信支付,CNY,5273,弹幕特效,直播
314,11075,2023-08-18 19:41:04,4669.82,银行卡,CNY,2833,贵族身份,直播
315,10367,2024-11-18 15:48:41,3055.76,银行卡,CNY,4213,化妆品,电商
316,12208,2024-09-01 14:10:25,350.73,支付宝,CNY,2373,弹幕特效,直播
317,10759,2025-02-23 02:40:07,13035.46,云闪付,USD,9085,VIP会员,会员
318,11962,2025-03-30 16:15:25,3069.3,Apple Pay,CNY,4323,化妆品,电商
319,12821,2025-03-25 06:22:38,760.17,银行卡,CNY,7233,角色,游戏
320,11767,2025-02-27 12:05:46,7275.68,Apple Pay,HKD,3551,化妆品,电商
321,10062,2025-01-28 06:24:36,978.81,支付宝,CNY,5352,游戏点券,游戏
322,11794,2025-04-16 08:35:49,3495.12,微信支付,CNY,4689,弹幕特效,直播
323,12248,2024-10-06 14:56:49,4405.57,支付宝,CNY,6096,礼物,直播
324,12474,2023-09-10 07:07:22,52.92,微信支付,CNY,6690,角色,游戏
