progress_id,user_id,level,experience,game_coins,diamonds,update_time,total_play_time
48,10047,30,16701,218822,445,2025-04-23 13:59:16,16371
49,10048,54,101851,1827826,12836,2025-04-23 02:13:17,150787
50,10049,22,2508,102439,82,2025-04-22 17:01:17,8089
51,10050,31,1291,390930,430,2025-04-22 19:34:17,36424
52,10051,40,16471,451517,391,2025-04-22 20:34:17,38162
53,10052,31,10355,348834,771,2025-04-22 14:17:17,27312
54,10053,25,10019,258792,539,2025-04-23 00:44:17,21451
55,10054,33,11739,198393,102,2025-04-23 07:14:17,15525
56,10055,18,3059,98210,64,2025-04-22 22:32:17,6793
57,10056,41,14174,407461,442,2025-04-22 20:14:17,35779
58,10057,40,28997,593117,500,2025-04-23 07:39:17,47047
59,10058,21,1483,67510,115,2025-04-23 12:40:17,4952
60,10059,9,1677,21032,28,2025-04-22 17:26:17,1011
61,10060,41,40476,487671,2189,2025-04-22 15:46:17,47928
62,10061,27,638,135624,302,2025-04-23 11:11:17,10966
63,10062,19,5947,114437,207,2025-04-22 22:38:17,9333
64,10063,26,3321,206387,366,2025-04-22 22:55:17,15913
65,10064,41,26970,440704,877,2025-04-23 08:30:17,36693
66,10065,29,7871,245803,611,2025-04-23 13:41:17,25898
67,10066,27,1122,99831,470,2025-04-23 02:50:17,8074
68,10067,40,32671,359049,475,2025-04-23 07:43:17,39512
69,10068,19,485,92624,65,2025-04-22 16:40:17,6317
70,10069,30,12120,323763,1138,2025-04-22 21:03:17,29250
71,10070,20,5428,60566,199,2025-04-22 19:13:17,4738
72,10071,38,4527,288610,377,2025-04-22 15:11:17,30621
73,10072,22,6591,173219,267,2025-04-23 10:09:17,12814
74,10073,40,3532,516549,554,2025-04-22 16:42:17,40455
75,10074,13,1953,43185,23,2025-04-23 09:18:17,2819
76,10075,42,35635,628202,1575,2025-04-22 16:23:17,71519
77,10076,10,966,26040,6,2025-04-22 17:08:17,1975
78,10077,29,803,178812,195,2025-04-22 20:41:17,14832
79,10078,2,910,3995,0,2025-04-22 17:04:17,191
80,10079,30,5270,231637,256,2025-04-23 02:49:17,16865
81,10080,41,21498,458362,1850,2025-04-23 04:03:17,50823
82,10081,49,96245,1138457,3395,2025-04-23 06:33:17,96026
83,10082,42,11955,518294,589,2025-04-23 04:26:17,45706
84,10083,45,25088,689275,3263,2025-04-22 15:53:17,57144
85,10084,44,10880,920741,888,2025-04-23 02:59:17,73600
86,10085,28,2791,180097,212,2025-04-22 15:12:17,16986
87,10086,18,2623,46705,52,2025-04-22 21:41:17,3141
88,10087,30,14586,190057,189,2025-04-23 07:44:17,19774
89,10088,32,15829,193318,225,2025-04-23 08:40:17,16604
90,10089,41,47048,524205,525,2025-04-22 23:17:17,41060
91,10090,46,48296,1020151,3052,2025-04-23 13:27:17,83897
92,10091,25,7134,150192,202,2025-04-23 10:50:17,14910
93,10092,47,58907,901784,2395,2025-04-23 13:36:17,92976
94,10093,34,5686,272855,363,2025-04-22 21:34:17,27783
95,10094,33,14231,209297,1359,2025-04-23 03:39:17,21397
96,10095,30,789,223581,1459,2025-04-23 09:31:17,18241
97,10096,51,79071,881874,6003,2025-04-23 00:18:17,97089
98,10097,29,5220,130941,110,2025-04-22 20:13:17,11749
99,10098,35,27064,284635,580,2025-04-23 05:14:17,22844
100,10099,36,19958,300226,1015,2025-04-23 01:27:17,22712
101,10100,44,905,518986,504,2025-04-23 09:23:17,43495
102,10101,32,11567,262940,179,2025-04-22 14:28:17,21159
103,10102,44,34883,845674,4824,2025-04-23 10:17:17,76267
104,10103,49,60338,732697,838,2025-04-23 12:59:17,74427
105,10104,10,2372,37619,121,2025-04-23 03:28:17,2458
106,10105,37,6888,364321,1366,2025-04-23 00:19:17,33581
107,10106,42,20487,475399,533,2025-04-23 07:47:17,46417
108,10107,15,1063,50904,76,2025-04-23 03:02:17,3173
109,10108,36,17515,611657,3757,2025-04-23 09:43:17,63105
110,10109,44,19940,430415,485,2025-04-23 08:50:17,44764
111,10110,34,11609,228069,241,2025-04-22 19:29:17,19690
112,10111,42,34513,501556,572,2025-04-23 13:54:17,57103
113,10112,42,27633,548107,2238,2025-04-23 03:18:17,56415
114,10113,39,37251,424247,534,2025-04-22 15:48:17,39780
115,10114,19,261,71009,61,2025-04-23 08:41:17,6289
116,10115,47,73112,881765,2018,2025-04-23 07:21:17,85815
117,10116,29,5573,220839,296,2025-04-23 09:06:17,21870
118,10117,35,3428,413481,567,2025-04-23 09:13:17,45556
119,10118,36,30010,769963,1425,2025-04-23 12:03:17,65604
120,10119,38,35851,593103,751,2025-04-22 20:16:17,56968
121,10120,37,25938,338724,783,2025-04-22 19:27:17,32260
122,10121,34,13155,189624,684,2025-04-23 13:28:17,18394
123,10122,39,2016,313783,230,2025-04-23 10:40:17,26823
124,10123,31,12181,370018,2371,2025-04-23 07:51:17,38602
125,10124,39,15205,282607,1645,2025-04-22 20:01:17,29681
126,10125,46,35830,635666,1669,2025-04-23 13:42:17,59036
127,10126,44,51941,726105,840,2025-04-23 02:04:17,63951
128,10127,43,9749,498639,525,2025-04-23 10:48:17,46233
129,10128,31,7021,233654,130,2025-04-23 08:24:17,18785
130,10129,35,7373,330990,365,2025-04-22 20:54:17,30809
131,10130,28,10448,296575,322,2025-04-22 21:13:17,28709
132,10131,42,1651,609581,1588,2025-04-22 14:21:17,67271
133,10132,35,10361,317896,2167,2025-04-23 06:18:17,25479
134,10133,24,1988,93053,278,2025-04-23 06:26:17,6875
135,10134,21,5267,61183,51,2025-04-23 06:57:17,4544
136,10135,31,10769,390645,1967,2025-04-23 09:47:17,31933
137,10136,28,223,122044,45,2025-04-23 10:38:17,8888
138,10137,26,6618,217101,165,2025-04-23 08:00:17,16384
139,10138,45,61868,1571596,11348,2025-04-22 17:53:17,129942
140,10139,15,401,50413,59,2025-04-22 19:06:17,3452
141,10140,15,3041,43533,44,2025-04-23 01:50:17,2809
142,10141,44,3020,481200,1340,2025-04-22 22:46:17,54545
143,10142,31,3960,169245,544,2025-04-22 18:01:17,16799
144,10143,34,10375,541372,1790,2025-04-22 22:26:17,42456
145,10144,29,1513,225184,234,2025-04-22 17:21:17,21290
146,10145,27,12148,209528,349,2025-04-22 20:17:17,16517
147,10146,33,8712,220961,215,2025-04-22 15:50:17,19154
148,10147,18,844,71038,49,2025-04-23 13:51:17,5667
149,10148,35,15887,308603,416,2025-04-23 00:35:17,31755
150,10149,16,1849,62458,53,2025-04-22 20:46:17,4077
151,10150,47,65507,560132,2392,2025-04-23 06:42:17,62424
152,10151,33,14469,181037,639,2025-04-23 11:46:17,15707
153,10152,41,31620,562618,644,2025-04-23 07:05:17,64794
154,10153,31,2573,305518,731,2025-04-23 00:16:17,30567
155,10154,30,5987,182573,102,2025-04-22 15:58:17,15397
156,10155,39,35359,543412,703,2025-04-23 10:23:17,54461
157,10156,36,16210,236037,402,2025-04-22 19:03:17,20948
158,10157,38,27835,613427,2083,2025-04-22 16:20:17,48845
159,10158,30,100,194708,210,2025-04-23 06:40:17,20435
160,10159,31,16891,271578,193,2025-04-23 01:04:17,24715
161,10160,27,146,114925,875,2025-04-23 00:20:17,8581
162,10161,39,40144,383267,2258,2025-04-23 08:47:17,40043
163,10162,37,30645,331590,640,2025-04-23 04:47:17,27659
164,10163,8,266,22685,31,2025-04-23 05:44:17,1325
165,10164,7,1534,23707,22,2025-04-23 11:23:17,1984
166,10165,16,1491,85663,106,2025-04-23 07:06:17,7267
167,10166,20,4539,87089,71,2025-04-22 18:05:17,6745
168,10167,36,27638,422960,411,2025-04-23 11:52:17,40706
169,10168,24,6441,81700,90,2025-04-22 15:16:17,6702
170,10169,33,9752,170682,474,2025-04-23 11:28:17,16492
171,10170,47,4397,691744,2552,2025-04-23 09:26:17,58350
172,10171,31,9563,244418,1512,2025-04-23 01:41:17,23799
173,10172,25,3308,130954,152,2025-04-22 19:06:17,12568
174,10173,34,6169,194278,222,2025-04-23 11:42:17,17895
175,10174,40,26683,352196,2443,2025-04-23 11:21:17,39013
176,10175,43,6128,463918,637,2025-04-23 08:46:17,49784
177,10176,23,6252,189106,455,2025-04-23 13:45:17,16937
178,10177,21,5876,111991,120,2025-04-23 10:08:17,7641
179,10178,42,3063,514800,696,2025-04-23 04:30:17,53958
180,10179,24,488,180976,155,2025-04-23 00:47:17,17575
181,10180,25,36,102184,547,2025-04-22 15:29:17,8106
182,10181,26,4142,139899,117,2025-04-22 19:32:17,12468
183,10182,41,26410,359241,434,2025-04-23 00:39:17,36653
184,10183,29,7108,350662,799,2025-04-23 02:12:17,30925
185,10184,27,9262,157399,140,2025-04-22 18:42:17,12925
186,10185,36,27130,670035,2265,2025-04-23 12:09:17,54190
187,10186,42,3995,743154,777,2025-04-22 23:05:17,67564
188,10187,37,23787,530307,591,2025-04-23 10:06:17,50387
189,10188,36,29540,713639,2680,2025-04-23 07:39:17,65510
190,10189,40,40217,422044,1100,2025-04-23 13:29:17,43790
191,10190,23,933,80659,232,2025-04-23 07:22:17,5669
192,10191,31,6183,313786,376,2025-04-23 11:12:17,26716
193,10192,22,1037,115836,219,2025-04-22 17:26:17,10190
194,10193,31,16039,289835,333,2025-04-23 14:13:17,28124
195,10194,43,10280,526044,787,2025-04-22 18:17:17,60156
196,10195,44,47795,498756,5502,2025-04-23 06:30:17,46621
197,10196,39,27343,558170,599,2025-04-23 08:47:17,53459
198,10197,31,4967,160791,359,2025-04-23 11:11:17,15483
199,10198,26,9684,114215,90,2025-04-22 14:17:17,8411
200,10199,37,15558,539805,1882,2025-04-23 04:48:17,43060
201,10200,41,41652,661521,745,2025-04-23 10:34:17,66048
202,10201,40,35032,407549,1140,2025-04-22 16:44:17,31767
203,10202,31,17261,246338,241,2025-04-22 14:56:17,22010
204,10203,32,17238,249663,265,2025-04-23 05:40:17,19751
205,10204,37,7938,357623,431,2025-04-23 03:22:17,33686
206,10205,32,17807,182663,205,2025-04-23 06:00:17,14522
207,10206,29,14227,198039,354,2025-04-23 03:41:17,14704
208,10207,48,65954,749711,2324,2025-04-23 04:51:17,85417
209,10208,40,23287,344641,1237,2025-04-22 15:35:17,30984
210,10209,17,3962,67960,69,2025-04-23 05:07:17,5425
211,10210,39,27527,425469,385,2025-04-23 08:07:17,32912
212,10211,7,675,15055,19,2025-04-23 13:18:17,697
213,10212,42,54054,779892,5758,2025-04-22 19:07:17,65619
214,10213,21,7137,169504,95,2025-04-23 00:26:17,14006
215,10214,35,15762,362820,307,2025-04-23 02:37:17,28567
216,10215,33,5244,305113,1193,2025-04-22 16:49:17,32340
217,10216,23,7142,170232,1083,2025-04-23 04:31:17,17115
218,10217,28,12847,199590,620,2025-04-23 04:26:17,16216
219,10218,30,13990,323186,436,2025-04-22 21:27:17,35474
220,10219,41,9513,381685,329,2025-04-23 09:57:17,33083
221,10220,10,1637,36573,71,2025-04-22 15:07:17,2353
222,10221,43,11784,462352,589,2025-04-23 00:33:17,43076
223,10222,36,4906,283430,307,2025-04-22 15:44:17,25243
224,10223,19,509,60471,172,2025-04-22 19:25:17,5056
225,10224,29,5465,231743,1019,2025-04-23 08:18:17,16998
226,10225,31,11041,357588,328,2025-04-23 10:59:17,27410
227,10226,14,3258,58769,176,2025-04-22 16:37:17,3766
228,10227,43,11870,383051,1922,2025-04-22 16:47:17,40210
229,10228,16,3171,102684,51,2025-04-23 05:11:17,7603
230,10229,32,8313,265293,2954,2025-04-23 12:07:17,26042
231,10230,40,17458,519971,489,2025-04-23 05:34:17,41721
232,10231,40,1957,436500,357,2025-04-22 23:48:17,34110
233,10232,24,6813,118548,116,2025-04-22 20:55:17,9420
234,10233,39,12551,375614,960,2025-04-22 23:56:17,41288
235,10234,24,8930,110522,86,2025-04-22 20:16:17,7409
236,10235,43,17060,537529,601,2025-04-23 04:06:17,50695
237,10236,38,35137,543008,694,2025-04-23 01:08:17,56866
238,10237,32,12469,204881,381,2025-04-23 12:43:17,15178
239,10238,45,34040,765212,4891,2025-04-22 16:35:17,83536
240,10239,33,174,511374,438,2025-04-22 21:21:17,44262
241,10240,44,41480,596355,2052,2025-04-23 04:21:17,49500
242,10241,41,21258,616342,635,2025-04-22 22:48:17,50799
243,10242,15,1157,67051,54,2025-04-22 20:10:17,5304
244,10243,42,54710,495034,507,2025-04-23 06:12:17,45479
245,10244,30,5610,298045,1868,2025-04-23 06:32:17,28165
246,10245,27,5751,192858,1208,2025-04-23 00:52:17,13971
247,10246,34,20314,221100,472,2025-04-22 23:15:17,17645
248,10247,38,33121,376185,288,2025-04-23 04:07:17,28289
249,10248,31,12905,374552,1796,2025-04-22 14:45:17,32289
250,10249,38,3376,353314,431,2025-04-22 20:27:17,28177
251,10250,23,4143,133679,133,2025-04-23 07:40:17,10322
252,10251,19,5565,94098,82,2025-04-22 18:56:17,6952
253,10252,16,4027,65376,67,2025-04-23 09:34:17,4319
254,10253,45,41029,824111,711,2025-04-23 00:37:17,68983
255,10254,44,3761,870998,836,2025-04-22 21:13:17,72809
256,10255,46,47142,1181542,6098,2025-04-23 07:03:17,104727
257,10256,45,31853,909814,5021,2025-04-23 06:00:17,83293
258,10257,31,8069,383308,409,2025-04-23 14:05:17,31483
259,10258,24,6018,223443,273,2025-04-23 12:27:17,18681
260,10259,43,1728,456666,551,2025-04-22 22:20:17,45616
261,10260,50,48313,1086269,9451,2025-04-23 02:31:17,86507
262,10261,30,7686,289351,263,2025-04-23 13:08:17,24438
263,10262,1,-728,63,0,2025-04-23 10:57:17,-104
264,10263,44,51545,639812,726,2025-04-23 11:06:17,63915
265,10264,25,3537,122467,147,2025-04-23 10:46:17,11197
266,10265,29,6133,196880,156,2025-04-23 06:12:17,15365
267,10266,43,22670,621651,1394,2025-04-23 11:08:17,61395
268,10267,39,9955,351138,354,2025-04-22 19:59:17,29306
269,10268,44,38072,965763,2411,2025-04-23 06:25:17,86199
270,10269,33,19313,257306,884,2025-04-22 16:02:17,21859
271,10270,31,7619,153429,158,2025-04-23 00:22:17,14496
272,10271,25,6028,154660,144,2025-04-23 03:38:17,12908
273,10272,21,2552,130877,191,2025-04-22 21:19:17,13089
274,10273,19,1159,95679,84,2025-04-22 15:42:17,8535
275,10274,13,2532,30169,18,2025-04-23 03:08:17,1730
276,10275,30,3606,247384,510,2025-04-23 00:55:17,18554
277,10276,31,575,202754,1132,2025-04-22 17:44:17,20156
278,10277,30,3875,316800,388,2025-04-22 23:59:17,33451
279,10278,37,11516,525151,496,2025-04-22 22:02:17,48634
280,10279,40,43977,396458,339,2025-04-22 18:25:17,34675
281,10280,24,2025,146407,576,2025-04-22 14:36:17,14902
282,10281,32,11177,238060,206,2025-04-23 08:53:17,17600
283,10282,23,1739,172307,137,2025-04-23 13:47:17,13362
284,10283,38,10467,467003,2314,2025-04-23 05:54:17,41488
285,10284,31,345,185145,125,2025-04-22 20:35:17,12941
286,10285,51,65169,995226,6742,2025-04-22 17:40:17,112112
287,10286,30,13670,186628,732,2025-04-22 21:21:17,17705
288,10287,37,21088,252323,374,2025-04-22 14:34:17,23334
289,10288,33,8717,236459,758,2025-04-23 09:04:17,17681
290,10289,28,4755,142813,174,2025-04-23 02:48:17,12532
291,10290,45,24566,774784,1937,2025-04-22 19:40:17,74235
292,10291,8,530,22390,15,2025-04-23 11:37:17,1358
293,10292,40,26782,349489,856,2025-04-23 11:52:17,31217
294,10293,43,6772,493403,651,2025-04-22 19:40:17,42718
295,10294,44,9728,601657,1181,2025-04-22 22:06:17,47232
296,10295,31,4223,206217,607,2025-04-22 17:58:17,15421
297,10296,34,5827,269986,298,2025-04-22 20:46:17,20849
298,10297,39,3311,485377,1632,2025-04-22 23:50:17,40364
299,10298,38,10023,384230,632,2025-04-23 11:47:17,31079
300,10299,39,15611,365867,339,2025-04-22 23:55:17,29710
301,10300,23,4577,87206,123,2025-04-23 05:34:17,5534
302,10301,48,51092,658481,4507,2025-04-22 22:49:17,72153
303,10302,27,1152,145059,382,2025-04-23 02:35:17,12114
304,10303,41,3183,655892,1393,2025-04-23 10:43:17,54435
305,10304,31,17963,294629,1351,2025-04-23 08:48:17,22088
306,10305,18,135,56904,32,2025-04-22 17:00:17,4057
307,10306,48,29388,833170,3838,2025-04-23 13:50:17,89858
308,10307,31,4167,250237,581,2025-04-23 02:41:17,26428
309,10308,32,9797,238670,216,2025-04-23 06:44:17,20982
310,10309,44,28709,917107,6341,2025-04-23 06:21:17,75581
311,10310,44,31396,555727,698,2025-04-23 12:08:17,52532
312,10311,37,26158,296413,580,2025-04-22 20:59:17,29590
313,10312,28,5158,266179,840,2025-04-22 14:34:17,27651
314,10313,33,9930,315173,273,2025-04-23 10:05:17,25674
315,10314,40,39447,512516,3537,2025-04-23 09:46:17,43720
316,10315,40,21676,621251,559,2025-04-23 08:18:17,51461
317,10316,33,1688,273185,252,2025-04-23 05:31:17,27853
318,10317,34,16882,375072,335,2025-04-23 01:03:17,29027
319,10318,34,17936,480409,451,2025-04-22 21:01:17,37471
320,10319,44,52729,682400,673,2025-04-22 15:32:17,54173
321,10320,39,28356,313030,1130,2025-04-23 02:38:17,28579
322,10321,43,28402,541571,1657,2025-04-23 12:57:17,44263
323,10322,30,9520,147703,205,2025-04-23 12:27:17,13300
324,10323,36,6658,529480,2028,2025-04-22 19:46:17,50778
325,10324,43,26540,463378,1112,2025-04-23 01:42:17,51485
326,10325,38,10588,603274,658,2025-04-22 17:32:17,53359
327,10326,36,22921,332979,370,2025-04-23 11:56:17,35659
328,10327,33,14473,212475,250,2025-04-23 09:31:17,21419
329,10328,30,12324,281623,519,2025-04-22 22:09:17,21963
330,10329,28,9343,160017,869,2025-04-22 20:58:17,14244
331,10330,22,6212,148546,168,2025-04-22 14:31:17,15301
332,10331,32,8099,392980,500,2025-04-23 10:03:17,34687
333,10332,36,1078,471727,327,2025-04-23 09:22:17,37386
334,10333,47,66095,691734,804,2025-04-23 12:02:17,78079
335,10334,31,6227,279772,213,2025-04-23 00:59:17,20784
336,10335,18,4748,125029,121,2025-04-23 12:21:17,9848
337,10336,40,8015,365864,2251,2025-04-23 01:40:17,34576
338,10337,32,19756,360816,1364,2025-04-23 05:54:17,31397
339,10338,44,16861,945835,3704,2025-04-22 19:55:17,95483
340,10339,37,19088,341828,365,2025-04-23 08:50:17,26770
341,10340,27,7172,145506,202,2025-04-23 12:03:17,11560
342,10341,47,50963,804397,2824,2025-04-23 01:55:17,65844
343,10342,41,32886,426274,533,2025-04-22 15:31:17,47238
344,10343,42,13893,401996,1688,2025-04-22 15:39:17,36694
345,10344,30,6643,232058,908,2025-04-23 03:19:17,24289
346,10345,18,322,50557,99,2025-04-23 01:07:17,3201
347,10346,34,4636,321508,1563,2025-04-22 21:05:17,35571
348,10347,39,27018,573193,4091,2025-04-22 16:39:17,47483
349,10348,38,12324,600676,624,2025-04-22 16:10:17,53607
350,10349,44,41000,677407,680,2025-04-23 06:18:17,57710
351,10350,32,13921,297052,394,2025-04-22 21:11:17,26743
352,10351,32,16389,343035,317,2025-04-22 23:36:17,30916
353,10352,38,3252,635850,1887,2025-04-23 13:10:17,52311
354,10353,23,37,160827,183,2025-04-22 19:22:17,15694
355,10354,44,57848,537802,2449,2025-04-23 08:39:17,59114
356,10355,22,483,74979,79,2025-04-22 20:35:17,5898
357,10356,36,8907,308252,1966,2025-04-23 03:54:17,23609
358,10357,25,8016,233559,415,2025-04-23 02:06:17,17542
359,10358,26,4530,180382,791,2025-04-23 04:30:17,14075
360,10359,39,9861,472912,453,2025-04-23 09:03:17,37290
361,10360,33,232,196710,178,2025-04-23 00:13:17,15812
362,10361,35,22572,302322,409,2025-04-23 06:26:17,29248
363,10362,24,1107,195020,159,2025-04-22 19:30:17,14749
364,10363,15,1618,40827,11,2025-04-23 11:35:17,2935
365,10364,40,39631,504795,573,2025-04-22 16:59:17,40092
366,10365,36,6346,539842,608,2025-04-23 05:23:17,50726
367,10366,12,1968,42053,51,2025-04-23 12:15:17,3708
368,10367,33,1542,292806,233,2025-04-23 13:42:17,24742
369,10368,42,29399,510020,1815,2025-04-22 15:36:17,43532
370,10369,1,-140,770,0,2025-04-23 05:12:17,-28
371,10370,29,11,209562,359,2025-04-22 23:30:17,16392
372,10371,40,30593,314105,442,2025-04-22 15:04:17,33719
373,10372,18,5208,77425,84,2025-04-22 14:50:17,4970
374,10373,1,660,1665,8,2025-04-22 23:04:17,66
375,10374,38,37375,500018,3320,2025-04-22 23:12:17,40030
376,10375,10,520,27129,9,2025-04-23 00:49:17,1706
377,10376,40,2677,620009,2454,2025-04-22 19:49:17,63450
378,10377,47,51706,1029559,3228,2025-04-23 05:33:17,83869
379,10378,20,2786,87160,102,2025-04-23 01:37:17,7369
380,10379,28,1343,148289,145,2025-04-23 02:21:17,13444
381,10380,46,19761,601819,714,2025-04-23 04:18:17,54029
382,10381,19,3544,68520,75,2025-04-22 20:06:17,5955
383,10382,27,6126,206982,218,2025-04-23 07:37:17,21019
384,10383,34,23101,325949,353,2025-04-23 12:01:17,29718
385,10384,5,1050,16219,26,2025-04-22 22:41:17,1211
386,10385,23,2823,77615,43,2025-04-22 16:44:17,5804
387,10386,30,3628,265374,474,2025-04-22 20:01:17,20876
388,10387,39,15991,481226,1093,2025-04-22 14:17:17,52040
389,10388,33,22289,198537,266,2025-04-23 08:03:17,18725
390,10389,37,19963,244690,187,2025-04-22 19:42:17,23259
391,10390,39,12071,499358,545,2025-04-23 02:12:17,51550
392,10391,12,372,40191,16,2025-04-23 03:05:17,3442
393,10392,28,2389,124595,239,2025-04-23 04:53:17,10422
394,10393,38,33543,699569,755,2025-04-22 18:41:17,66078
395,10394,24,1347,153195,162,2025-04-23 07:00:17,14789
396,10395,37,24382,255533,630,2025-04-23 10:30:17,25236
397,10396,45,19361,532759,548,2025-04-22 23:09:17,49143
398,10397,47,20882,570031,3878,2025-04-23 04:20:17,59449
399,10398,42,22827,594174,2805,2025-04-22 17:04:17,46612
400,10399,32,2225,383472,439,2025-04-23 02:40:17,33708
401,10400,33,2458,187153,349,2025-04-23 01:10:17,15971
402,10401,39,9281,746250,3449,2025-04-22 18:27:17,81922
403,10402,12,1040,28174,61,2025-04-23 00:01:17,1640
404,10403,45,51516,729587,6607,2025-04-22 15:49:17,76930
405,10404,38,30547,470870,476,2025-04-22 14:29:17,49184
406,10405,32,8162,148909,156,2025-04-23 04:01:17,13879
407,10406,25,4632,118499,294,2025-04-23 13:59:17,7836
408,10407,26,3410,123728,632,2025-04-22 20:04:17,9290
409,10408,45,21640,537479,578,2025-04-22 21:10:17,52816
410,10409,35,23284,445503,534,2025-04-22 15:32:17,36649
411,10410,41,45038,600705,706,2025-04-22 20:27:17,53177
412,10411,30,525,131104,141,2025-04-23 03:43:17,10927
413,10412,25,5514,89341,77,2025-04-23 03:50:17,6850
414,10413,34,6386,355421,446,2025-04-22 15:17:17,35821
415,10414,40,22927,407839,349,2025-04-23 07:52:17,30960
416,10415,43,23685,488199,1017,2025-04-23 06:14:17,47305
417,10416,23,632,117930,968,2025-04-23 03:49:17,8785
418,10417,40,28252,332867,1203,2025-04-22 22:03:17,31315
419,10418,20,1666,92357,252,2025-04-23 09:18:17,7229
420,10419,36,17110,205512,482,2025-04-23 02:12:17,21008
421,10420,27,682,153010,151,2025-04-23 00:15:17,10970
422,10421,36,6040,754687,2600,2025-04-22 15:16:17,60810
423,10422,37,30484,464207,1140,2025-04-23 03:57:17,39934
424,10423,44,5996,646628,622,2025-04-23 09:30:17,54793
425,10424,20,4594,109701,139,2025-04-22 20:19:17,7595
426,10425,44,41980,855158,846,2025-04-23 06:13:17,69350
427,10426,48,91532,788976,3262,2025-04-22 21:39:17,80814
428,10427,38,513,517896,413,2025-04-23 04:34:17,40382
429,10428,40,9163,915757,813,2025-04-22 14:44:17,75106
430,10429,31,13931,189393,148,2025-04-23 02:15:17,16230
431,10430,28,10074,205336,179,2025-04-23 11:11:17,20453
432,10431,19,4879,99241,1183,2025-04-22 15:27:17,9155
433,10432,13,3150,31272,26,2025-04-23 09:45:17,2214
434,10433,29,12758,139445,615,2025-04-22 20:21:17,10685
435,10434,40,36577,309269,614,2025-04-23 14:09:17,31870
436,10435,31,3871,234385,829,2025-04-22 19:27:17,18470
437,10436,1,504,1648,0,2025-04-22 15:24:17,63
438,10437,30,8932,238628,1395,2025-04-23 02:25:17,21539
439,10438,25,4842,148272,63,2025-04-23 04:42:17,11342
440,10439,40,33331,506334,503,2025-04-23 04:59:17,43164
441,10440,17,1392,75270,46,2025-04-22 15:10:17,6805
442,10441,43,34823,724580,1670,2025-04-22 18:56:17,69567
443,10442,33,4712,309097,1811,2025-04-23 12:36:17,28231
444,10443,30,16647,202863,210,2025-04-22 21:08:17,20003
445,10444,42,43008,371260,2391,2025-04-22 20:55:17,38635
446,10445,40,18584,327203,422,2025-04-22 17:23:17,35389
