user_id,register_time,channel,device_type,os_version,region,gender,age,vip_level
10022,2023-05-28 00:32:40.525930,QQ小程序,OPPO,Android 11,江西省,男,30,1
10023,2024-11-08 21:51:31.390224,App Store,Samsung,Android 12,山西省,女,45,3
10024,2025-01-07 22:52:04.299867,小米应用商店,Huawei,Android 11,河北省,男,30,0
10025,2024-01-27 01:30:46.265670,小米应用商店,OPPO,iOS 16,新疆维吾尔自治区,男,19,0
10026,2024-07-31 14:53:34.268644,微信小程序,Samsung,HarmonyOS 2.0,四川省,男,32,0
10027,2023-08-21 07:24:04.215829,官网,OPPO,Android 13,海南省,男,43,2
10028,2023-09-24 12:15:52.444819,App Store,OPPO,HarmonyOS 2.0,湖北省,男,46,2
10029,2024-09-17 21:35:35.810458,微信小程序,VIVO,HarmonyOS 2.0,内蒙古自治区,男,29,1
10030,2024-07-12 05:40:35.789428,App Store,VIVO,iOS 15,黑龙江省,女,26,3
10031,2024-05-18 11:49:55.324018,华为应用市场,VIVO,Android 12,福建省,女,32,0
10032,2023-08-21 20:30:47.086552,小米应用商店,Huawei,iOS 16,云南省,男,26,2
10033,2023-11-07 15:11:14.330938,官网,Samsung,iOS 15,江西省,男,29,3
10034,2024-09-05 08:08:35.038433,App Store,Xiaomi,iOS 15,重庆市,男,58,0
10035,2023-10-08 18:37:24.994920,官网,Samsung,Android 13,天津市,男,25,1
10036,2024-12-02 06:06:13.746242,QQ小程序,iPhone,HarmonyOS 2.0,陕西省,女,29,1
10037,2023-11-06 00:31:17.529540,微信小程序,VIVO,Android 11,浙江省,男,20,1
10038,2025-02-19 03:50:46.624631,小米应用商店,VIVO,HarmonyOS 2.0,广西壮族自治区,男,40,1
10039,2023-09-26 18:55:06.386583,小米应用商店,OPPO,Android 11,台湾省,男,60,0
10040,2024-02-07 09:10:20.263698,官网,OPPO,Android 13,新疆维吾尔自治区,女,32,0
10041,2023-08-06 20:48:41.952362,微信小程序,iPhone,Android 11,江苏省,女,47,1
10042,2023-10-21 14:36:55.165275,QQ小程序,iPhone,iOS 16,湖南省,男,34,0
10043,2024-10-20 21:23:00.128531,微信小程序,Samsung,HarmonyOS 2.0,宁夏回族自治区,男,45,0
10044,2025-02-07 23:33:29.914575,小米应用商店,Samsung,iOS 16,陕西省,男,20,0
10045,2024-01-13 19:52:44.697905,华为应用市场,Samsung,iOS 16,江苏省,女,47,0
10046,2024-04-30 12:36:07.394762,小米应用商店,iPhone,Android 11,山西省,男,28,1
10047,2024-10-27 07:00:17.239968,微信小程序,Huawei,HarmonyOS 2.0,吉林省,女,29,1
10048,2023-08-14 03:28:52.693933,微信小程序,iPhone,HarmonyOS 2.0,黑龙江省,男,24,4
10049,2024-11-22 18:55:54.669101,官网,Xiaomi,Android 13,宁夏回族自治区,男,46,0
10050,2024-07-02 22:47:15.386327,华为应用市场,Samsung,HarmonyOS 2.0,云南省,男,18,0
10051,2024-01-28 03:40:16.638540,App Store,iPhone,iOS 15,新疆维吾尔自治区,男,55,0
10052,2024-05-14 19:47:04.974093,华为应用市场,VIVO,Android 11,北京市,女,53,2
10053,2024-09-02 04:16:00.251699,官网,Samsung,Android 13,吉林省,男,56,1
10054,2024-09-03 05:16:01.395244,小米应用商店,Samsung,HarmonyOS 2.0,湖北省,男,19,0
10055,2024-11-05 15:33:04.266171,QQ小程序,Xiaomi,iOS 15,贵州省,女,43,0
10056,2023-07-15 00:05:43.693039,官网,Xiaomi,Android 12,宁夏回族自治区,男,60,0
10057,2023-08-18 00:37:30.882027,QQ小程序,Huawei,Android 12,北京市,男,25,0
10058,2025-03-20 20:33:23.180609,微信小程序,Samsung,iOS 16,湖南省,男,34,1
10059,2025-04-03 01:10:51.171936,App Store,Samsung,iOS 15,安徽省,男,51,2
10060,2024-04-29 04:17:03.580644,华为应用市场,VIVO,Android 11,河北省,男,55,2
10061,2025-01-19 01:11:12.236745,官网,OPPO,Android 12,广东省,男,46,1
10062,2024-12-28 23:44:54.127934,App Store,Huawei,HarmonyOS 2.0,香港特别行政区,女,31,1
10063,2024-07-12 02:51:34.175828,小米应用商店,OPPO,iOS 16,辽宁省,女,20,1
10064,2024-01-22 12:40:19.510629,小米应用商店,VIVO,Android 12,黑龙江省,男,35,1
10065,2024-05-22 07:37:19.187705,微信小程序,iPhone,HarmonyOS 2.0,澳门特别行政区,男,54,1
10066,2025-02-23 01:42:26.678526,微信小程序,Samsung,Android 12,广西壮族自治区,女,18,2
10067,2024-04-15 06:04:24.216802,App Store,iPhone,HarmonyOS 2.0,吉林省,男,31,0
10068,2025-03-02 19:30:32.925042,小米应用商店,Xiaomi,Android 11,广东省,男,24,0
10069,2023-10-16 08:54:21.117642,微信小程序,Samsung,Android 12,福建省,男,18,2
10070,2025-01-24 12:25:46.440997,官网,Huawei,iOS 15,山西省,男,29,2
10071,2023-06-26 02:20:59.528825,华为应用市场,Samsung,Android 11,台湾省,女,18,0
10072,2024-12-10 06:25:43.639712,App Store,Samsung,Android 13,江苏省,女,32,1
10073,2023-07-27 07:07:11.448929,华为应用市场,Huawei,iOS 16,西藏自治区,女,41,0
10074,2025-03-15 18:29:24.926353,微信小程序,Samsung,Android 11,黑龙江省,男,38,0
10075,2023-11-04 01:29:36.700507,App Store,VIVO,Android 11,宁夏回族自治区,女,42,1
10076,2025-03-28 13:20:22.207702,华为应用市场,Xiaomi,Android 11,山东省,男,60,0
10077,2024-09-26 00:34:02.613648,华为应用市场,VIVO,Android 13,陕西省,男,30,0
10078,2025-04-20 00:43:05.223316,QQ小程序,OPPO,Android 12,四川省,女,50,0
10079,2024-03-09 09:12:53.492656,QQ小程序,iPhone,iOS 15,澳门特别行政区,男,53,0
10080,2024-03-19 03:44:18.909821,小米应用商店,Huawei,Android 13,福建省,男,58,2
10081,2023-10-05 14:23:55.441254,华为应用市场,OPPO,Android 11,贵州省,男,49,2
10082,2023-05-09 22:13:17.847165,QQ小程序,VIVO,Android 13,江西省,男,21,0
10083,2024-06-27 03:10:19.896090,官网,Samsung,Android 12,北京市,男,23,3
10084,2023-06-15 09:30:00.920762,华为应用市场,OPPO,HarmonyOS 2.0,重庆市,男,55,0
10085,2023-10-08 16:45:41.188537,微信小程序,iPhone,Android 12,天津市,男,57,0
10086,2025-01-11 02:30:48.964804,QQ小程序,Huawei,iOS 15,内蒙古自治区,女,24,0
10087,2024-05-03 21:42:59.788567,App Store,iPhone,iOS 15,湖北省,男,26,0
10088,2024-08-24 22:11:31.432703,微信小程序,Samsung,Android 11,浙江省,男,21,0
10089,2024-05-22 05:04:47.520930,QQ小程序,iPhone,Android 12,西藏自治区,男,58,0
10090,2023-10-18 23:00:47.072383,官网,Xiaomi,Android 11,西藏自治区,男,39,2
10091,2024-12-04 01:02:55.643138,华为应用市场,Xiaomi,Android 11,山东省,男,53,0
10092,2023-07-02 10:17:21.636336,官网,OPPO,Android 12,宁夏回族自治区,女,49,1
10093,2024-01-08 04:59:41.119936,华为应用市场,OPPO,Android 11,甘肃省,女,37,0
10094,2024-03-30 11:58:24.862409,App Store,iPhone,iOS 15,重庆市,男,41,3
10095,2024-08-28 03:02:53.726883,官网,Samsung,iOS 15,河北省,男,59,4
10096,2023-06-07 19:38:07.579386,微信小程序,Samsung,iOS 15,贵州省,男,23,3
10097,2024-11-29 00:04:55.845069,华为应用市场,OPPO,iOS 15,河北省,男,24,0
10098,2023-10-23 02:09:37.293020,App Store,VIVO,iOS 16,山东省,男,18,1
10099,2024-05-20 01:25:40.070633,QQ小程序,Huawei,Android 11,江苏省,男,38,2
10100,2024-02-26 13:04:03.787636,官网,iPhone,Android 13,湖北省,女,35,0
10101,2024-03-27 06:56:42.530186,小米应用商店,Huawei,iOS 16,内蒙古自治区,男,41,0
10102,2024-03-13 01:21:07.352012,小米应用商店,Xiaomi,Android 11,河北省,女,54,3
10103,2023-05-31 12:00:32.119793,华为应用市场,Samsung,iOS 16,北京市,男,35,0
10104,2025-03-31 22:30:56.939464,小米应用商店,Xiaomi,Android 13,福建省,男,27,2
10105,2023-08-23 23:28:19.368010,微信小程序,OPPO,Android 13,台湾省,男,51,2
10106,2024-04-09 23:06:03.138269,App Store,Samsung,iOS 16,陕西省,男,51,0
10107,2025-02-11 08:30:01.413481,官网,VIVO,Android 11,黑龙江省,男,23,1
10108,2024-01-26 05:18:37.560112,官网,iPhone,iOS 15,云南省,女,50,3
10109,2023-11-04 04:03:32.285034,App Store,Xiaomi,Android 13,新疆维吾尔自治区,男,27,0
10110,2023-11-18 19:16:04.368140,官网,Samsung,iOS 15,台湾省,男,26,0
10111,2023-08-15 13:44:30.363686,华为应用市场,OPPO,Android 12,河南省,女,32,0
10112,2023-09-30 11:49:16.064779,微信小程序,Samsung,Android 11,重庆市,女,58,2
10113,2024-06-20 08:56:24.302363,小米应用商店,OPPO,iOS 15,重庆市,男,31,0
10114,2024-10-21 14:13:59.544228,微信小程序,Huawei,Android 12,重庆市,男,40,0
10115,2023-05-31 04:11:42.495912,小米应用商店,Huawei,HarmonyOS 2.0,西藏自治区,女,23,1
10116,2024-04-25 15:38:24.351500,官网,Huawei,Android 11,澳门特别行政区,男,22,0
10117,2023-08-17 11:55:22.016599,华为应用市场,OPPO,Android 11,香港特别行政区,女,50,0
10118,2023-06-22 01:15:15.335654,微信小程序,VIVO,iOS 16,安徽省,男,19,1
10119,2023-06-13 14:11:42.496294,华为应用市场,iPhone,Android 12,内蒙古自治区,女,53,0
10120,2024-08-29 11:25:31.180917,小米应用商店,Samsung,iOS 16,福建省,男,30,1
10121,2024-02-13 07:50:56.572746,小米应用商店,Xiaomi,Android 13,福建省,女,47,2
10122,2024-06-20 04:21:47.795095,小米应用商店,iPhone,iOS 15,天津市,男,25,0
10123,2024-07-19 17:15:55.619666,App Store,Xiaomi,Android 11,甘肃省,男,35,3
10124,2024-08-16 10:52:45.229611,QQ小程序,OPPO,Android 13,澳门特别行政区,男,29,3
10125,2023-12-11 12:30:03.925444,App Store,VIVO,Android 12,湖南省,女,50,1
10126,2023-09-20 16:19:21.226041,华为应用市场,Huawei,Android 12,广西壮族自治区,男,38,0
10127,2023-10-15 19:28:45.403387,华为应用市场,Huawei,iOS 15,陕西省,男,45,0
10128,2023-07-29 02:41:20.010343,微信小程序,VIVO,iOS 16,广东省,女,54,0
10129,2024-03-23 08:16:33.241163,官网,Xiaomi,Android 11,内蒙古自治区,男,60,0
10130,2023-05-01 08:54:29.496603,华为应用市场,iPhone,Android 12,河北省,女,59,0
10131,2023-06-17 01:13:45.201196,小米应用商店,Xiaomi,HarmonyOS 2.0,浙江省,女,35,1
10132,2024-04-27 20:48:04.423044,官网,OPPO,iOS 16,江苏省,男,40,4
10133,2025-03-05 20:24:20.488819,小米应用商店,Huawei,Android 12,内蒙古自治区,女,34,2
10134,2025-01-25 10:30:57.733985,华为应用市场,VIVO,Android 12,四川省,男,32,0
10135,2023-11-18 14:40:49.738817,华为应用市场,Xiaomi,Android 11,青海省,男,38,3
10136,2024-12-23 04:54:46.779042,微信小程序,Xiaomi,Android 11,广东省,男,55,0
10137,2024-07-14 02:17:45.039867,App Store,iPhone,HarmonyOS 2.0,澳门特别行政区,女,60,0
10138,2023-04-30 06:45:44.014301,华为应用市场,iPhone,Android 13,广东省,女,49,4
10139,2025-03-04 18:04:01.919312,App Store,OPPO,Android 13,河北省,女,18,1
10140,2025-03-09 23:45:18.207690,微信小程序,Xiaomi,Android 13,江苏省,女,47,0
10141,2023-11-03 15:08:39.600036,官网,OPPO,Android 11,河北省,女,43,1
10142,2024-10-17 12:50:30.092050,小米应用商店,Huawei,iOS 15,辽宁省,男,59,2
10143,2023-11-09 09:14:31.447120,QQ小程序,VIVO,Android 12,浙江省,男,31,2
10144,2024-09-29 10:16:00.867218,微信小程序,OPPO,HarmonyOS 2.0,浙江省,女,50,0
10145,2024-09-07 10:39:03.907758,华为应用市场,Samsung,iOS 15,湖南省,男,30,1
10146,2024-04-27 12:28:05.112356,华为应用市场,OPPO,Android 11,湖南省,男,41,0
10147,2025-02-13 11:11:48.165355,官网,OPPO,HarmonyOS 2.0,重庆市,女,48,0
10148,2023-06-30 22:46:13.955578,小米应用商店,Samsung,Android 13,宁夏回族自治区,女,34,0
10149,2024-12-19 23:52:47.692885,小米应用商店,iPhone,iOS 15,天津市,女,29,0
10150,2023-04-27 03:49:18.702145,微信小程序,Xiaomi,Android 13,江苏省,男,56,2
10151,2024-08-01 15:55:39.933153,官网,Xiaomi,Android 11,湖南省,男,54,2
10152,2023-08-20 12:37:03.407547,小米应用商店,VIVO,HarmonyOS 2.0,青海省,女,27,0
10153,2024-05-31 07:08:32.521284,小米应用商店,OPPO,Android 12,宁夏回族自治区,女,42,1
10154,2024-06-07 00:47:22.775073,微信小程序,VIVO,iOS 16,吉林省,女,50,0
10155,2023-06-18 11:58:25.742573,App Store,VIVO,iOS 15,辽宁省,男,26,0
10156,2024-05-26 20:26:35.720771,QQ小程序,Huawei,Android 11,四川省,女,20,1
10157,2024-06-22 19:16:08.377644,官网,Xiaomi,Android 12,辽宁省,男,41,2
10158,2024-03-03 07:33:52.554816,官网,Xiaomi,iOS 15,天津市,男,25,0
10159,2023-12-05 14:23:15.646793,App Store,Huawei,iOS 16,天津市,女,40,0
10160,2025-02-08 18:51:39.674998,官网,Huawei,HarmonyOS 2.0,浙江省,男,37,4
10161,2024-09-03 11:30:35.165125,App Store,Xiaomi,iOS 16,河北省,男,27,3
10162,2024-01-07 18:09:03.842413,App Store,iPhone,HarmonyOS 2.0,甘肃省,男,21,1
10163,2025-04-04 11:19:33.691779,小米应用商店,Samsung,Android 12,辽宁省,男,37,0
10164,2025-02-28 09:05:00.817107,App Store,Xiaomi,Android 12,福建省,女,40,0
10165,2025-01-14 17:35:35.471986,QQ小程序,Samsung,iOS 16,安徽省,女,52,0
10166,2025-01-27 00:06:47.860525,华为应用市场,Xiaomi,Android 13,上海市,男,35,0
10167,2023-09-02 12:06:00.763113,App Store,iPhone,Android 11,贵州省,男,36,0
10168,2024-11-15 17:06:46.085023,微信小程序,iPhone,Android 11,甘肃省,男,43,0
10169,2024-11-30 04:51:39.683043,微信小程序,Huawei,Android 13,福建省,男,60,1
10170,2023-11-05 08:08:14.715543,微信小程序,Huawei,iOS 15,河北省,男,59,2
10171,2024-01-28 19:49:56.527634,微信小程序,OPPO,Android 11,天津市,男,57,3
10172,2025-01-10 08:15:18.548377,小米应用商店,Xiaomi,Android 12,江西省,男,40,0
10173,2023-09-17 06:13:02.535384,微信小程序,OPPO,Android 13,新疆维吾尔自治区,女,42,0
10174,2024-01-04 19:43:01.146653,官网,OPPO,HarmonyOS 2.0,江西省,男,31,3
10175,2023-10-04 07:19:18.969365,QQ小程序,VIVO,Android 12,山东省,男,21,0
10176,2024-02-09 10:49:31.200038,App Store,iPhone,Android 12,湖北省,男,31,1
10177,2025-01-14 13:09:53.759734,小米应用商店,VIVO,Android 12,湖北省,女,50,0
10178,2024-01-05 21:46:53.653507,微信小程序,Xiaomi,Android 13,香港特别行政区,女,22,0
10179,2024-02-10 08:04:00.058358,华为应用市场,OPPO,Android 13,贵州省,女,27,0
10180,2025-03-10 05:08:09.914561,官网,OPPO,iOS 15,吉林省,女,20,3
10181,2025-01-23 19:24:51.694894,微信小程序,Xiaomi,Android 13,湖南省,男,44,0
10182,2023-09-01 22:12:34.301630,QQ小程序,Samsung,HarmonyOS 2.0,湖南省,男,28,0
10183,2023-05-22 11:58:02.951465,小米应用商店,VIVO,iOS 16,宁夏回族自治区,女,38,1
10184,2024-01-01 22:08:22.507868,官网,iPhone,Android 13,广西壮族自治区,男,54,0
10185,2024-03-08 03:19:20.043487,小米应用商店,iPhone,iOS 16,香港特别行政区,男,53,2
10186,2023-07-17 23:48:55.890298,小米应用商店,Huawei,HarmonyOS 2.0,山东省,男,38,0
10187,2023-10-27 12:26:22.907173,微信小程序,Xiaomi,Android 12,宁夏回族自治区,男,26,0
10188,2023-04-25 19:19:57.299805,华为应用市场,Huawei,iOS 16,山东省,男,35,2
10189,2024-01-15 10:51:41.668188,官网,iPhone,Android 11,内蒙古自治区,女,36,1
10190,2025-03-17 05:58:56.579183,官网,OPPO,Android 13,贵州省,男,44,2
10191,2024-07-22 11:23:03.016140,QQ小程序,VIVO,iOS 15,吉林省,男,23,0
10192,2024-09-30 23:47:45.876816,官网,VIVO,iOS 15,广东省,男,40,1
10193,2024-04-28 18:29:15.574512,QQ小程序,iPhone,HarmonyOS 2.0,甘肃省,男,48,0
10194,2023-12-18 16:25:33.175166,小米应用商店,Xiaomi,Android 12,河南省,男,36,0
10195,2024-06-02 07:00:28.791400,微信小程序,OPPO,Android 11,山东省,男,51,5
10196,2024-02-25 11:55:16.163725,QQ小程序,Huawei,Android 13,云南省,男,49,0
10197,2024-08-31 00:18:42.444242,小米应用商店,VIVO,Android 13,安徽省,女,18,1
10198,2024-07-16 21:31:21.778885,官网,Samsung,Android 13,广东省,男,51,0
10199,2024-02-15 00:08:18.043915,官网,OPPO,Android 12,北京市,男,20,2
10200,2023-12-02 09:35:25.800254,微信小程序,OPPO,HarmonyOS 2.0,浙江省,男,53,0
10201,2024-03-03 09:20:30.396159,App Store,Xiaomi,iOS 16,广西壮族自治区,女,28,2
10202,2024-03-29 00:17:40.135260,微信小程序,Xiaomi,Android 13,青海省,男,57,0
10203,2024-08-29 18:41:25.851766,华为应用市场,Xiaomi,iOS 16,香港特别行政区,男,18,0
10204,2024-04-03 23:55:24.117673,小米应用商店,Huawei,Android 11,黑龙江省,女,56,0
10205,2024-08-17 12:45:59.188540,微信小程序,Samsung,iOS 16,河南省,男,37,0
10206,2024-05-04 20:25:14.169373,微信小程序,OPPO,Android 13,贵州省,女,29,1
10207,2023-07-01 17:50:42.483166,小米应用商店,Huawei,Android 12,福建省,女,58,1
10208,2024-08-27 17:04:53.533382,官网,Samsung,Android 13,江西省,男,24,2
10209,2024-12-03 08:40:59.886714,QQ小程序,Xiaomi,HarmonyOS 2.0,辽宁省,男,55,0
10210,2023-05-12 09:38:03.054706,App Store,iPhone,Android 13,福建省,女,28,0
10211,2025-04-11 20:15:37.828897,官网,Xiaomi,iOS 16,内蒙古自治区,男,53,0
10212,2024-03-22 00:35:33.572069,App Store,Huawei,iOS 16,山东省,男,51,4
10213,2024-09-29 23:07:18.582352,微信小程序,Huawei,Android 12,云南省,男,52,0
10214,2024-04-19 11:11:21.803826,App Store,iPhone,iOS 15,福建省,男,21,0
10215,2023-08-10 07:09:04.877598,官网,Xiaomi,HarmonyOS 2.0,北京市,女,34,2
10216,2025-02-04 05:06:05.558803,官网,OPPO,HarmonyOS 2.0,河北省,男,52,3
10217,2024-11-12 19:37:36.895629,小米应用商店,Huawei,iOS 15,江西省,男,28,2
10218,2023-08-30 23:14:09.788594,小米应用商店,iPhone,Android 12,澳门特别行政区,女,30,0
10219,2024-03-28 16:36:55.319867,微信小程序,Huawei,Android 11,福建省,女,20,0
10220,2025-02-22 07:46:33.751734,官网,Samsung,Android 12,吉林省,男,36,1
10221,2024-03-22 18:54:45.256055,QQ小程序,Samsung,Android 13,新疆维吾尔自治区,男,44,0
10222,2024-08-23 21:39:47.749686,App Store,iPhone,Android 12,广西壮族自治区,男,19,0
10223,2025-03-18 02:23:43.183727,App Store,iPhone,Android 11,青海省,女,27,2
10224,2024-07-14 19:22:12.301230,QQ小程序,Xiaomi,iOS 15,香港特别行政区,男,40,3
10225,2024-03-01 02:11:58.016589,QQ小程序,Xiaomi,Android 12,青海省,女,29,0
10226,2025-02-07 12:47:14.487128,华为应用市场,VIVO,iOS 15,西藏自治区,女,31,2
10227,2024-03-18 02:55:24.729077,App Store,iPhone,Android 11,福建省,女,39,2
10228,2024-12-27 16:05:57.061966,官网,Samsung,iOS 15,湖北省,男,60,0
10229,2024-11-03 14:45:25.695991,官网,VIVO,HarmonyOS 2.0,澳门特别行政区,女,57,5
10230,2024-04-12 07:50:28.060656,小米应用商店,Xiaomi,iOS 16,福建省,男,25,0
10231,2023-11-11 00:38:55.171983,小米应用商店,OPPO,Android 11,内蒙古自治区,女,55,0
10232,2024-09-26 11:00:26.574605,App Store,iPhone,Android 12,福建省,女,43,0
10233,2023-11-08 22:09:00.233887,官网,iPhone,iOS 15,广西壮族自治区,女,36,1
10234,2025-02-04 11:31:53.397751,官网,VIVO,HarmonyOS 2.0,山西省,女,31,0
10235,2023-08-03 14:00:53.807947,华为应用市场,iPhone,HarmonyOS 2.0,江西省,女,33,0
10236,2024-01-29 04:28:46.964229,小米应用商店,iPhone,Android 12,辽宁省,男,30,0
10237,2024-09-21 06:09:53.104959,QQ小程序,Huawei,iOS 15,内蒙古自治区,男,50,1
10238,2024-02-21 10:11:12.930092,华为应用市场,Xiaomi,Android 12,贵州省,女,55,3
10239,2024-05-24 16:14:54.853863,官网,OPPO,iOS 16,甘肃省,女,41,0
10240,2023-06-09 00:35:47.897928,微信小程序,Xiaomi,iOS 16,甘肃省,男,19,2
10241,2024-02-02 21:20:06.528529,QQ小程序,OPPO,Android 12,上海市,女,39,0
10242,2025-01-08 23:38:47.741474,QQ小程序,Samsung,iOS 16,云南省,男,27,0
10243,2024-04-06 18:23:10.691858,微信小程序,Samsung,Android 13,海南省,女,24,0
10244,2023-11-28 13:23:42.210431,微信小程序,Xiaomi,iOS 16,云南省,女,47,3
10245,2025-01-06 14:06:34.138294,QQ小程序,VIVO,Android 13,甘肃省,女,51,4
10246,2024-05-21 11:19:32.640312,App Store,iPhone,iOS 15,江西省,女,18,1
10247,2024-04-14 23:28:54.608049,微信小程序,Xiaomi,Android 11,湖北省,男,41,0
10248,2024-03-07 17:32:51.681213,App Store,Samsung,Android 12,上海市,男,51,3
10249,2024-02-02 10:28:46.523140,QQ小程序,Huawei,iOS 16,陕西省,女,19,0
10250,2024-10-04 05:21:32.849708,华为应用市场,Huawei,Android 12,新疆维吾尔自治区,男,43,0
10251,2025-02-23 20:04:14.098834,官网,iPhone,Android 11,上海市,女,18,0
10252,2025-02-14 15:05:42.221073,App Store,VIVO,Android 11,上海市,女,60,0
10253,2023-06-24 20:27:39.333482,小米应用商店,Huawei,Android 13,宁夏回族自治区,男,30,0
10254,2023-08-01 15:09:23.058606,官网,VIVO,iOS 16,新疆维吾尔自治区,男,44,0
10255,2023-09-04 05:35:38.160255,华为应用市场,Samsung,Android 12,湖南省,女,45,3
10256,2024-01-26 07:36:03.922074,QQ小程序,VIVO,HarmonyOS 2.0,浙江省,女,59,3
10257,2024-03-21 12:02:00.827440,华为应用市场,Xiaomi,iOS 16,贵州省,女,34,0
10258,2024-10-31 06:26:45.136292,官网,Huawei,iOS 16,云南省,男,37,0
10259,2023-11-13 16:45:26.261571,QQ小程序,iPhone,Android 12,甘肃省,女,24,0
10260,2023-10-25 17:29:55.052578,QQ小程序,iPhone,iOS 15,山西省,男,52,5
10261,2024-04-01 21:28:37.773629,QQ小程序,Xiaomi,HarmonyOS 2.0,重庆市,女,20,0
10262,2025-04-23 12:05:11.559733,微信小程序,VIVO,HarmonyOS 2.0,海南省,女,58,0
10263,2023-10-05 06:04:25.436276,华为应用市场,Huawei,iOS 15,内蒙古自治区,男,26,0
10264,2024-11-14 20:54:15.905058,QQ小程序,OPPO,HarmonyOS 2.0,天津市,女,22,0
10265,2024-10-26 03:52:01.646442,App Store,Huawei,HarmonyOS 2.0,福建省,男,22,0
10266,2023-09-17 02:30:01.957970,微信小程序,VIVO,HarmonyOS 2.0,上海市,女,24,1
10267,2024-07-21 03:30:07.532202,App Store,VIVO,Android 12,福建省,女,34,0
10268,2023-07-25 17:05:34.327266,App Store,OPPO,Android 12,吉林省,女,47,1
10269,2024-06-09 06:26:54.471490,QQ小程序,Samsung,iOS 15,浙江省,男,25,2
10270,2024-03-29 01:05:48.403226,QQ小程序,Xiaomi,iOS 16,湖南省,男,45,0
10271,2024-11-04 09:45:21.859525,小米应用商店,Huawei,HarmonyOS 2.0,黑龙江省,女,34,0
10272,2024-07-09 20:56:28.905164,官网,Xiaomi,iOS 16,吉林省,女,52,0
10273,2024-11-12 08:36:54.844857,华为应用市场,VIVO,Android 13,黑龙江省,男,24,0
10274,2025-03-28 19:36:33.596806,QQ小程序,Samsung,iOS 15,河北省,女,36,1
10275,2024-06-20 00:15:28.448823,微信小程序,Xiaomi,iOS 15,广东省,女,21,1
10276,2024-06-17 21:39:36.254428,小米应用商店,VIVO,iOS 15,云南省,男,44,3
10277,2024-02-08 03:05:13.935337,小米应用商店,Xiaomi,Android 11,山东省,女,21,0
10278,2023-06-19 01:09:34.850518,QQ小程序,Huawei,HarmonyOS 2.0,福建省,女,42,0
10279,2023-07-07 23:00:44.137089,小米应用商店,Huawei,iOS 15,广东省,男,54,0
10280,2025-01-04 06:50:20.175809,官网,VIVO,HarmonyOS 2.0,吉林省,男,34,2
10281,2024-11-25 19:36:08.005409,华为应用市场,iPhone,Android 12,天津市,女,32,0
10282,2024-01-03 00:42:40.885535,华为应用市场,iPhone,Android 13,宁夏回族自治区,女,20,0
10283,2024-08-19 11:33:18.999833,华为应用市场,OPPO,iOS 16,内蒙古自治区,女,51,3
10284,2024-04-27 22:08:03.926513,华为应用市场,OPPO,Android 12,贵州省,男,55,0
10285,2023-05-03 19:22:01.415261,华为应用市场,iPhone,iOS 16,甘肃省,女,60,3
10286,2024-12-14 20:56:20.665776,QQ小程序,OPPO,Android 12,河北省,女,22,2
10287,2024-03-06 01:01:52.968424,微信小程序,VIVO,HarmonyOS 2.0,四川省,男,26,0
10288,2024-07-31 13:09:08.812030,华为应用市场,Huawei,iOS 15,新疆维吾尔自治区,女,18,2
