event_id,user_id,event_time,event_type,event_detail,level_id,result,duration
137,10365,2025-04-06 01:25:28,LEVEL_START,Started level 100,100,,0
138,12696,2025-04-15 06:03:42,LEVEL_START,Started level 77,77,,0
139,10335,2025-03-31 22:24:13,LEVEL_COMPLETE,"Completed with score 3959, stars: 1",9,SUCCESS,40
140,10991,2025-04-20 09:45:38,LEVEL_START,Started level 97,97,,0
141,12840,2025-04-17 01:47:14,LEVEL_START,Started level 86,86,,0
142,12656,2025-03-26 03:14:25,LEVEL_COMPLETE,"Completed with score 5070, stars: 1",16,SUCCESS,211
143,12821,2025-04-07 09:48:57,LEVEL_FAIL,Failed at 84% progress,19,FAIL,263
144,11949,2025-04-22 02:42:38,LEVEL_START,Started level 77,77,,0
145,10227,2025-04-18 12:26:39,ACHIEVEMENT,Earned achievement: FIRST_WIN,83,,0
146,10503,2025-04-15 22:46:20,LEVEL_FAIL,Failed at 48% progress,96,FAIL,40
147,10627,2025-04-16 03:36:52,ITEM_USE,Used item: SHIELD,57,,1
148,11306,2025-04-16 14:31:07,LEVEL_START,Started level 58,58,,0
149,12315,2025-04-01 22:39:59,LEVEL_START,Started level 88,88,,0
150,10384,2025-03-31 16:11:22,LEVEL_COMPLETE,"Completed with score 5241, stars: 3",3,SUCCESS,271
151,11236,2025-03-28 18:58:03,LEVEL_COMPLETE,"Completed with score 1094, stars: 2",43,SUCCESS,108
152,12160,2025-04-14 18:28:04,LEVEL_START,Started level 45,45,,0
153,12677,2025-04-03 12:21:22,LEVEL_START,Started level 76,76,,0
154,10068,2025-03-30 20:18:51,LEVEL_START,Started level 15,15,,0
155,11064,2025-04-19 07:06:52,LEVEL_FAIL,Failed at 17% progress,27,FAIL,140
156,12022,2025-04-07 22:35:05,LEVEL_FAIL,Failed at 61% progress,40,FAIL,225
157,11390,2025-04-16 05:30:19,LEVEL_COMPLETE,"Completed with score 7264, stars: 1",75,SUCCESS,282
158,10971,2025-04-09 17:38:08,LEVEL_FAIL,Failed at 73% progress,66,FAIL,290
159,10962,2025-04-08 06:20:39,LEVEL_COMPLETE,"Completed with score 5907, stars: 2",19,SUCCESS,83
160,10767,2025-03-25 12:25:00,LEVEL_START,Started level 26,26,,0
161,10268,2025-04-15 09:19:38,LEVEL_START,Started level 43,43,,0
162,12086,2025-04-22 23:55:44,LEVEL_START,Started level 12,12,,0
163,12922,2025-04-11 08:05:50,LEVEL_FAIL,Failed at 45% progress,12,FAIL,213
164,10045,2025-04-12 21:58:39,LEVEL_FAIL,Failed at 17% progress,17,FAIL,120
165,11303,2025-03-30 02:19:24,LEVEL_START,Started level 93,93,,0
166,11695,2025-03-30 23:05:18,LEVEL_FAIL,Failed at 51% progress,58,FAIL,76
167,11822,2025-04-01 22:56:55,LEVEL_START,Started level 82,82,,0
168,12637,2025-04-01 03:36:57,LEVEL_COMPLETE,"Completed with score 4628, stars: 2",72,SUCCESS,149
169,12842,2025-04-16 01:23:24,LEVEL_COMPLETE,"Completed with score 6195, stars: 1",15,SUCCESS,190
170,12641,2025-03-31 09:43:15,LEVEL_START,Started level 4,4,,0
171,10563,2025-04-16 06:34:15,LEVEL_START,Started level 52,52,,0
172,12420,2025-04-18 18:26:40,LEVEL_FAIL,Failed at 86% progress,70,FAIL,74
173,10745,2025-03-28 08:51:15,LEVEL_COMPLETE,"Completed with score 2716, stars: 3",14,SUCCESS,91
174,10361,2025-04-07 12:43:14,LEVEL_FAIL,Failed at 62% progress,86,FAIL,55
175,11461,2025-03-29 15:05:32,LEVEL_START,Started level 94,94,,0
176,10427,2025-04-16 23:09:22,LEVEL_START,Started level 61,61,,0
177,12816,2025-03-27 19:41:21,LEVEL_START,Started level 35,35,,0
178,12868,2025-04-10 20:56:04,LEVEL_START,Started level 14,14,,0
179,11269,2025-04-05 11:35:18,LEVEL_FAIL,Failed at 80% progress,24,FAIL,279
180,12971,2025-04-11 10:33:21,LEVEL_START,Started level 58,58,,0
181,10412,2025-03-27 16:32:08,LEVEL_START,Started level 76,76,,0
182,11260,2025-04-17 11:07:16,LEVEL_FAIL,Failed at 49% progress,32,FAIL,242
183,10919,2025-04-03 23:55:00,LEVEL_COMPLETE,"Completed with score 9127, stars: 2",25,SUCCESS,152
184,11747,2025-03-26 15:32:38,LEVEL_COMPLETE,"Completed with score 6623, stars: 1",48,SUCCESS,220
185,10073,2025-04-19 04:15:24,LEVEL_START,Started level 73,73,,0
186,10952,2025-04-06 16:51:34,ITEM_USE,Used item: TIME_EXTENSION,38,,5
187,10225,2025-04-14 19:08:39,LEVEL_COMPLETE,"Completed with score 5652, stars: 1",68,SUCCESS,43
188,12783,2025-04-12 01:51:37,LEVEL_COMPLETE,"Completed with score 1831, stars: 1",17,SUCCESS,41
189,12929,2025-04-07 12:57:34,LEVEL_COMPLETE,"Completed with score 6503, stars: 3",27,SUCCESS,48
190,11966,2025-04-03 06:44:55,LEVEL_START,Started level 1,1,,0
191,11512,2025-04-01 23:44:23,LEVEL_START,Started level 76,76,,0
192,10782,2025-04-10 16:15:39,LEVEL_FAIL,Failed at 53% progress,1,FAIL,69
193,12441,2025-03-25 10:33:05,LEVEL_FAIL,Failed at 36% progress,29,FAIL,60
194,10870,2025-04-08 06:02:28,LEVEL_COMPLETE,"Completed with score 6645, stars: 1",59,SUCCESS,56
195,12904,2025-04-03 20:28:48,LEVEL_START,Started level 82,82,,0
196,11699,2025-04-10 08:07:29,LEVEL_FAIL,Failed at 16% progress,40,FAIL,163
197,12627,2025-03-27 04:28:25,LEVEL_FAIL,Failed at 67% progress,75,FAIL,166
198,10913,2025-04-10 06:18:48,LEVEL_START,Started level 71,71,,0
199,12686,2025-04-13 00:13:47,LEVEL_COMPLETE,"Completed with score 2188, stars: 2",49,SUCCESS,296
200,11214,2025-03-27 08:56:15,LEVEL_START,Started level 44,44,,0
201,10793,2025-04-02 18:40:17,ACHIEVEMENT,Earned achievement: SPEED_MASTER,45,,0
202,10941,2025-04-10 07:14:49,LEVEL_FAIL,Failed at 22% progress,92,FAIL,237
203,11812,2025-04-04 06:11:41,LEVEL_START,Started level 12,12,,0
204,11872,2025-04-01 04:58:38,ITEM_USE,Used item: SHIELD,8,,4
205,10092,2025-04-03 01:52:03,LEVEL_FAIL,Failed at 38% progress,40,FAIL,232
206,12833,2025-03-30 09:04:40,LEVEL_FAIL,Failed at 48% progress,12,FAIL,267
207,10130,2025-04-15 07:52:36,LEVEL_COMPLETE,"Completed with score 3070, stars: 1",64,SUCCESS,164
208,12237,2025-04-23 03:21:24,LEVEL_COMPLETE,"Completed with score 8081, stars: 1",2,SUCCESS,90
209,12960,2025-03-31 09:53:11,LEVEL_START,Started level 23,23,,0
210,11761,2025-04-14 19:52:46,LEVEL_COMPLETE,"Completed with score 3500, stars: 3",55,SUCCESS,73
211,10273,2025-04-22 19:44:51,LEVEL_FAIL,Failed at 16% progress,17,FAIL,83
212,11562,2025-04-12 18:50:46,LEVEL_START,Started level 71,71,,0
213,10530,2025-04-19 18:58:39,LEVEL_START,Started level 5,5,,0
214,11589,2025-04-08 00:43:33,LEVEL_START,Started level 10,10,,0
215,11376,2025-04-01 06:07:54,LEVEL_COMPLETE,"Completed with score 9563, stars: 1",18,SUCCESS,170
216,10517,2025-04-18 06:54:03,LEVEL_START,Started level 89,89,,0
217,11647,2025-04-10 21:24:25,LEVEL_START,Started level 43,43,,0
218,11887,2025-03-29 02:11:48,LEVEL_FAIL,Failed at 63% progress,67,FAIL,122
219,10501,2025-03-27 03:32:55,LEVEL_FAIL,Failed at 78% progress,32,FAIL,173
220,12153,2025-04-11 18:49:09,LEVEL_START,Started level 3,3,,0
221,10612,2025-04-16 20:22:19,ACHIEVEMENT,Earned achievement: LEVEL_MASTER,19,,0
222,12790,2025-04-02 12:07:52,LEVEL_START,Started level 1,1,,0
223,12173,2025-04-02 17:48:13,LEVEL_START,Started level 24,24,,0
224,10145,2025-04-22 00:10:20,LEVEL_FAIL,Failed at 38% progress,24,FAIL,246
225,12435,2025-04-01 12:35:24,LEVEL_START,Started level 4,4,,0
226,10558,2025-03-29 21:13:54,LEVEL_COMPLETE,"Completed with score 9750, stars: 1",97,SUCCESS,281
227,12053,2025-04-05 23:10:00,LEVEL_COMPLETE,"Completed with score 9758, stars: 2",18,SUCCESS,262
228,12276,2025-04-02 08:22:10,LEVEL_FAIL,Failed at 32% progress,85,FAIL,175
229,11988,2025-04-14 15:58:30,LEVEL_COMPLETE,"Completed with score 7172, stars: 3",97,SUCCESS,130
230,11568,2025-04-21 07:13:18,ITEM_USE,Used item: POWER_BOOST,98,,3
231,11996,2025-04-06 09:35:53,LEVEL_START,Started level 78,78,,0
232,11082,2025-04-20 20:48:45,LEVEL_START,Started level 18,18,,0
233,12350,2025-03-26 10:58:35,LEVEL_FAIL,Failed at 44% progress,29,FAIL,291
234,11383,2025-04-06 19:21:17,LEVEL_START,Started level 19,19,,0
235,11936,2025-04-14 14:52:34,ITEM_USE,Used item: POWER_BOOST,53,,1
236,11230,2025-04-06 19:12:23,LEVEL_START,Started level 71,71,,0
237,10917,2025-04-15 17:40:36,LEVEL_START,Started level 26,26,,0
238,10495,2025-03-27 10:16:48,LEVEL_START,Started level 38,38,,0
239,11321,2025-04-23 16:15:42,LEVEL_START,Started level 13,13,,0
240,10767,2025-04-10 20:46:38,ITEM_USE,Used item: POWER_BOOST,13,,5
241,11636,2025-04-07 16:35:30,LEVEL_FAIL,Failed at 59% progress,32,FAIL,135
242,11899,2025-03-30 00:47:38,LEVEL_COMPLETE,"Completed with score 8710, stars: 2",49,SUCCESS,135
243,12992,2025-04-22 15:52:01,LEVEL_COMPLETE,"Completed with score 4773, stars: 3",75,SUCCESS,113
244,11707,2025-04-03 15:15:59,LEVEL_START,Started level 25,25,,0
245,10438,2025-04-03 11:16:15,LEVEL_FAIL,Failed at 79% progress,42,FAIL,235
246,10131,2025-04-13 10:52:25,LEVEL_COMPLETE,"Completed with score 3968, stars: 3",17,SUCCESS,128
247,11562,2025-04-07 05:17:24,LEVEL_START,Started level 20,20,,0
248,10300,2025-03-28 04:28:41,LEVEL_COMPLETE,"Completed with score 5277, stars: 1",52,SUCCESS,182
249,12379,2025-04-13 09:09:05,LEVEL_FAIL,Failed at 86% progress,79,FAIL,80
250,10930,2025-03-26 06:53:48,LEVEL_START,Started level 3,3,,0
251,11428,2025-04-12 08:55:37,ITEM_USE,Used item: TIME_EXTENSION,73,,3
252,12077,2025-04-01 14:12:51,LEVEL_COMPLETE,"Completed with score 1436, stars: 1",93,SUCCESS,91
253,11994,2025-04-06 17:20:17,LEVEL_START,Started level 81,81,,0
254,12448,2025-03-25 10:48:21,LEVEL_COMPLETE,"Completed with score 6830, stars: 3",55,SUCCESS,208
255,10737,2025-04-14 21:18:24,LEVEL_START,Started level 100,100,,0
256,12095,2025-04-10 04:41:55,LEVEL_FAIL,Failed at 47% progress,65,FAIL,70
257,11218,2025-04-07 10:11:30,LEVEL_FAIL,Failed at 65% progress,48,FAIL,218
258,10237,2025-04-08 13:41:59,LEVEL_COMPLETE,"Completed with score 7227, stars: 2",46,SUCCESS,271
259,11168,2025-04-06 01:51:09,LEVEL_COMPLETE,"Completed with score 9232, stars: 3",1,SUCCESS,128
260,11124,2025-03-31 21:17:40,LEVEL_FAIL,Failed at 68% progress,17,FAIL,132
261,10791,2025-03-30 08:13:50,LEVEL_FAIL,Failed at 12% progress,47,FAIL,276
262,12599,2025-04-19 13:02:55,LEVEL_START,Started level 73,73,,0
263,11209,2025-04-03 18:46:28,LEVEL_START,Started level 23,23,,0
264,12506,2025-04-18 05:18:16,LEVEL_FAIL,Failed at 42% progress,84,FAIL,35
265,11660,2025-04-18 17:24:01,ITEM_USE,Used item: TIME_EXTENSION,26,,4
266,10671,2025-04-19 13:11:55,LEVEL_COMPLETE,"Completed with score 8715, stars: 2",75,SUCCESS,180
267,12895,2025-04-03 23:20:37,LEVEL_FAIL,Failed at 88% progress,58,FAIL,42
268,10101,2025-04-07 05:57:04,LEVEL_COMPLETE,"Completed with score 6978, stars: 3",78,SUCCESS,235
269,12029,2025-04-23 02:27:00,LEVEL_START,Started level 68,68,,0
270,10972,2025-03-31 14:44:02,LEVEL_FAIL,Failed at 77% progress,89,FAIL,119
271,12311,2025-04-03 03:17:12,LEVEL_START,Started level 3,3,,0
272,11590,2025-04-05 06:37:16,LEVEL_START,Started level 29,29,,0
273,11515,2025-04-08 12:18:49,LEVEL_START,Started level 63,63,,0
274,10853,2025-04-19 16:02:05,LEVEL_START,Started level 98,98,,0
275,12310,2025-03-27 14:21:35,LEVEL_COMPLETE,"Completed with score 2068, stars: 2",45,SUCCESS,73
276,12430,2025-04-15 06:10:51,LEVEL_COMPLETE,"Completed with score 5158, stars: 1",11,SUCCESS,65
277,11218,2025-03-26 21:25:46,LEVEL_FAIL,Failed at 62% progress,79,FAIL,276
278,10773,2025-04-03 17:57:45,LEVEL_FAIL,Failed at 49% progress,95,FAIL,211
279,12748,2025-04-19 04:43:03,LEVEL_START,Started level 85,85,,0
280,12641,2025-04-22 05:41:00,LEVEL_START,Started level 37,37,,0
281,10049,2025-04-19 18:05:49,LEVEL_FAIL,Failed at 50% progress,89,FAIL,203
282,10994,2025-03-31 15:01:46,LEVEL_START,Started level 21,21,,0
283,11486,2025-04-23 13:20:58,LEVEL_COMPLETE,"Completed with score 6536, stars: 2",78,SUCCESS,280
284,10637,2025-04-22 23:38:15,LEVEL_START,Started level 61,61,,0
285,12389,2025-04-07 00:11:45,LEVEL_START,Started level 90,90,,0
286,10900,2025-03-25 23:07:52,ITEM_USE,Used item: COIN_MULTIPLIER,36,,1
287,10091,2025-04-04 08:28:30,LEVEL_START,Started level 9,9,,0
288,11782,2025-04-09 12:42:19,LEVEL_FAIL,Failed at 31% progress,45,FAIL,96
289,10702,2025-03-29 16:41:18,LEVEL_COMPLETE,"Completed with score 5360, stars: 1",84,SUCCESS,230
290,12330,2025-04-12 04:44:46,LEVEL_FAIL,Failed at 51% progress,42,FAIL,100
291,10264,2025-03-31 13:28:04,LEVEL_FAIL,Failed at 47% progress,50,FAIL,168
292,11475,2025-04-01 07:14:46,LEVEL_START,Started level 4,4,,0
293,10177,2025-04-20 15:19:02,LEVEL_FAIL,Failed at 87% progress,98,FAIL,104
294,11422,2025-03-26 21:38:42,LEVEL_COMPLETE,"Completed with score 8592, stars: 3",16,SUCCESS,208
295,10203,2025-04-12 19:53:10,ITEM_USE,Used item: SHIELD,37,,5
296,12242,2025-04-07 08:35:26,ACHIEVEMENT,Earned achievement: COMBO_MASTER,18,,0
297,10661,2025-04-19 04:53:57,LEVEL_COMPLETE,"Completed with score 7367, stars: 1",27,SUCCESS,216
298,10967,2025-04-10 20:38:51,LEVEL_START,Started level 83,83,,0
299,12497,2025-03-25 07:02:41,LEVEL_START,Started level 97,97,,0
300,12393,2025-04-01 20:04:47,LEVEL_FAIL,Failed at 39% progress,18,FAIL,297
301,10728,2025-04-20 22:49:54,LEVEL_START,Started level 19,19,,0
302,12786,2025-04-16 21:18:06,LEVEL_START,Started level 27,27,,0
303,10218,2025-03-31 05:38:59,LEVEL_COMPLETE,"Completed with score 6172, stars: 3",91,SUCCESS,54
304,11284,2025-04-13 22:31:39,LEVEL_COMPLETE,"Completed with score 1461, stars: 2",47,SUCCESS,130
305,12460,2025-04-12 10:33:16,LEVEL_COMPLETE,"Completed with score 5873, stars: 3",67,SUCCESS,248
306,12995,2025-04-02 20:47:40,LEVEL_START,Started level 32,32,,0
307,12616,2025-04-15 13:07:31,LEVEL_COMPLETE,"Completed with score 2413, stars: 2",92,SUCCESS,78
308,12203,2025-04-03 10:07:29,LEVEL_COMPLETE,"Completed with score 3400, stars: 2",47,SUCCESS,281
